species,block_id,block_label,detection_prob_mean,detection_prob_median,detection_prob_l95,detection_prob_u95
Phoenicurus fuliginosus,5,2020-2024,0.4595548805679988,0.4581964730371857,0.4418842540417533,0.47719270237566824
Zosterops simplex,1,2000-2004,0.16043314459437552,0.16022447288460528,0.14286512240050603,0.17614072633673653
Zosterops simplex,2,2005-2009,0.16044199736329282,0.1602316329430765,0.14286981754705,0.17614868148013418
Zosterops simplex,3,2010-2014,0.17900878060452627,0.17811334425641417,0.16176508223089942,0.1965500186454246
Zosterops simplex,4,2015-2019,0.2537379349835316,0.2532006766127428,0.23618341187362143,0.27217233242604466
Zosterops simplex,5,2020-2024,0.40104369023521497,0.40048079682707083,0.38583839778521367,0.42105969321933384
Copsychus saularis,1,2000-2004,0.297867936598024,0.2981786239476436,0.27030327133924253,0.3191995099206887
Copsychus saularis,2,2005-2009,0.29786515219720994,0.298173361858934,0.2702969454585963,0.3191957091639763
Copsychus saularis,3,2010-2014,0.31869492771926133,0.3196165766848337,0.2944444418586444,0.34124835192896247
Copsychus saularis,4,2015-2019,0.42069568505077976,0.4209919423825164,0.3975879449214951,0.44045699298478985
Copsychus saularis,5,2020-2024,0.5767940789524877,0.5776031767375415,0.5599877346823204,0.5968380004884278
Sinosuthora webbiana,1,2000-2004,0.23317359879756056,0.23272791811507504,0.20862727789567226,0.2564138621500494
Sinosuthora webbiana,2,2005-2009,0.23317328526048509,0.23272959159372747,0.20862804278462238,0.2564133971000759
Sinosuthora webbiana,3,2010-2014,0.22481375827093392,0.2243280500053074,0.2043196882866825,0.2444886339975794
Sinosuthora webbiana,4,2015-2019,0.33216929446986604,0.33221750213436063,0.3097030771653278,0.3559150014454425
Sinosuthora webbiana,5,2020-2024,0.4658239796511238,0.4670319922318537,0.4421433497807756,0.48736789607517417
Dicrurus macrocercus,1,2000-2004,0.12080959344652223,0.12103744337368355,0.10933409587498644,0.1317687530168077
Dicrurus macrocercus,2,2005-2009,0.12081369545246688,0.12104329000573907,0.10934635243482795,0.13176640408676268
Dicrurus macrocercus,3,2010-2014,0.12642147605124662,0.12656978803268462,0.11421262823781952,0.13836125023138018
Dicrurus macrocercus,4,2015-2019,0.19738433979840572,0.19681155060029767,0.18183017735160117,0.21047901289825763
Dicrurus macrocercus,5,2020-2024,0.3258143288549846,0.3264050499809283,0.3070877186695755,0.34373609491224094
Nycticorax nycticorax,1,2000-2004,0.10892116153635034,0.10861276312329429,0.095968021672897,0.12077115354009176
Nycticorax nycticorax,2,2005-2009,0.10892339737666246,0.10861476574787739,0.0959701503418522,0.12077505044170728
Nycticorax nycticorax,3,2010-2014,0.1127668926589459,0.11246530169786721,0.09978775907237362,0.12396511327047208
Nycticorax nycticorax,4,2015-2019,0.1862567242453632,0.18596852903158617,0.16865058816300724,0.2009683615972592
Nycticorax nycticorax,5,2020-2024,0.32119250296178575,0.32155728271202266,0.29724580344685303,0.3391324348534779
Spodiopsar cineraceus,1,2000-2004,0.13207700667003416,0.1317719241123177,0.1216914516743047,0.14551538040867035
Spodiopsar cineraceus,2,2005-2009,0.13207412742916863,0.13176783004417922,0.12168827518724355,0.14550551523381866
Spodiopsar cineraceus,3,2010-2014,0.13445608577484705,0.13455679771933293,0.12481162151795017,0.15076421035802737
Spodiopsar cineraceus,4,2015-2019,0.20120169453854353,0.20098802355381962,0.18917650830519234,0.21725097046980021
