species,n_grid_year_detections,n_blocks_detected,n_grids_detected
Phylloscopus chloronotus,84,5,34
Rallina eurizonoides,84,3,52
Tetraophasis obscurus,84,5,21
Aegithina tiphia,83,5,14
Nipponia nippon,83,5,23
Tetraophasis szechenyii,83,5,22
Tetrastes bonasia,83,5,43
Locustella tacsanowskia,82,5,44
Mycerobas melanozanthos,82,5,35
Phaenicophaeus tristis,82,4,28
Serilophus lunatus,82,5,14
Calonectris leucomelas,81,5,41
Phylloscopus fuligiventer,81,5,28
Carpodacus thura,80,5,28
Otus scops,80,4,29
Rissa tridactyla,80,4,49
Emberiza citrinella,79,3,35
Lewinia striata,79,2,40
Anastomus oscitans,77,4,29
Curruca nisoria,77,3,43
Ducula badia,77,5,19
Sitta cinnamoventris,77,5,28
Dendrocygna javanica,76,4,30
Gavia stellata,76,5,32
Iduna rama,76,4,38
Iole propinqua,76,5,15
Moupinia poecilotis,76,5,24
Stachyris strialata,76,5,19
Aegithalos bonvaloti,74,3,39
Chrysomma sinense,74,4,16
Pterocles orientalis,74,5,30
Sinosuthora brunnea,74,5,16
Anas poecilorhyncha,73,5,19
Ketupa flavipes,73,5,28
Picoides kizuki,73,4,41
Schoeniparus dubius,73,3,40
Turnix suscitator,73,5,42
Alophoixus flaveolus,72,5,14
Tesia olivea,72,4,18
Brachypteryx sinensis,71,5,35
Ficedula superciliaris,71,5,29
Gavia arctica,71,5,39
Phylloscopus omeiensis,71,2,36
Carpodacus stoliczkae,70,5,19
Columba palumbus,69,4,28
Coturnix coturnix,69,5,30
Heterophasia picaoides,69,5,10
Prinia crinigera,69,5,25
Syrrhaptes tibetanus,69,5,38
Cettia cetti,68,4,26
Charadrius hiaticula,68,5,35
Megalurus palustris,68,5,20
Phoenicurus coeruleocephala,68,4,31
Ficedula sapphira,67,5,24
Leiothrix argentauris,67,3,25
Otus semitorques,67,4,42
Tarsiger albocoeruleus,67,4,41
Pellorneum tickelli,66,5,15
Strix uralensis,66,4,37
Urocissa whiteheadi,66,5,15
Alcippe poioicephala,65,5,14
Anthus sylvanus,65,5,45
Perisoreus internigrans,65,5,16
Calandrella dukhunensis,63,4,51
Emberiza koslowi,63,5,15
Trochalopteron erythrocephalum,63,5,16
Certhia nipalensis,62,4,18
Hierococcyx hyperythrus,62,3,41
Prunella himalayana,62,4,28
Gorsachius melanolophus,61,2,31
Oriolus tenuirostris,61,4,17
Porphyrio poliocephalus,61,2,20
Liocichla ripponi,60,5,10
Phylloscopus griseolus,60,4,38
Podoces biddulphi,60,5,28
Arachnothera longirostra,59,5,16
Bambusicola fytchii,59,5,21
Carpodacus sipahi,59,5,22
Garrulax maesi,59,5,26
Gecinulus grantia,59,4,20
Helopsaltes fasciolatus,59,4,42
Acridotheres grandis,58,5,21
Apus cooki,58,3,34
Dendrocopos atratus,58,4,12
Gorsachius magnificus,58,5,31
Larus hyperboreus,58,5,28
Lyrurus tetrix,58,3,27
Oriolus kundoo,58,3,31
Helopsaltes pryeri,57,3,29
Heterophasia gracilis,57,4,9
Phoenicopterus roseus,57,3,32
Acrocephalus scirpaceus,56,5,24
Anthus pratensis,56,4,34
Emberiza personata,56,4,38
Heterophasia capistrata,56,5,16
Pomatorhinus ochraceiceps,56,5,10
Treron curvirostra,56,5,18
Acrocephalus stentoreus,55,4,17
Agraphospiza rubescens,55,5,28
Fregata ariel,55,5,30
Orthotomus atrogularis,55,4,15
Pteruthius intermedius,55,5,20
Merops orientalis,54,4,17
Arborophila rufogularis,53,4,17
Crossoptilon harmani,53,5,18
Gracula religiosa,53,5,21
Hierococcyx nisicolor,53,2,37
Trochalopteron chrysopterum,53,5,11
Garrulax leucolophus,52,4,15
Oxyura leucocephala,52,4,23
Phylloscopus xanthoschistos,52,5,14
Podiceps grisegena,52,4,40
Psittiparus bakeri,52,4,9
Suthora nipalensis,52,5,13
Syrmaticus reevesii,52,4,19
Cacomantis sonneratii,51,4,15
Emberiza calandra,51,4,28
Ninox scutulata,51,5,26
Arborophila torqueola,50,5,17
Larus genei,50,4,31
Larvivora akahige,50,3,23
Acrocephalus tangorum,49,5,29
Chelidorhynx hypoxanthus,49,3,21
Cinnyris asiaticus,49,4,11
Hydrocoloeus minutus,49,5,34
Microhierax melanoleucos,49,5,11
Montifringilla nivalis,49,3,31
Pelecanus onocrotalus,49,4,27
Alcippe nipalensis,48,4,10
Chloropsis aurifrons,48,5,12
Emberiza jankowskii,48,5,20
Emberiza melanocephala,48,3,34
Lerwa lerwa,48,5,14
Locustella luscinioides,48,5,19
Carpodacus rhodochlamys,47,3,30
Cissa hypoleuca,47,5,10
Falco vespertinus,47,3,20
Vanellus duvaucelii,47,4,9
Acridotheres albocinctus,46,5,5
Bubo scandiacus,46,3,17
Crossoptilon mantchuricum,46,5,9
Hirundapus cochinchinensis,46,4,26
Larvivora brunnea,46,3,28
Lophura leucomelanos,46,4,11
Onychoprion aleuticus,46,3,25
Phylloscopus cantator,46,4,14
Trochalopteron squamatum,46,4,11
Burhinus oedicnemus,45,4,19
Chalcoparia singalensis,44,5,13
Enicurus immaculatus,44,5,14
Erithacus rubecula,44,4,24
Lophophorus impejanus,44,4,10
Tetraogallus himalayensis,44,4,26
Trochalopteron subunicolor,44,4,13
Agropsar philippensis,43,3,24
Anser caerulescens,43,3,20
Anthipes monileger,43,4,13
Bulweria bulwerii,43,3,24
Chloris spinoides,43,5,12
Lophophorus lhuysii,43,5,14
Psilopogon duvaucelii,43,5,11
Calidris melanotos,42,4,31
Glareola pratincola,42,4,18
Pinicola enucleator,42,4,24
Psittacula finschii,42,5,16
Pterorhinus waddelli,42,3,18
Actinodura waldeni,41,4,11
Carpodacus rodopeplus,41,5,15
Chleuasicus atrosuperciliaris,41,5,6
Corvus splendens,41,5,25
Cutia nipalensis,41,5,11
Gampsorhynchus rufulus,41,5,6
Pellorneum albiventre,41,4,12
Phalacrocorax pelagicus,41,4,10
Plectrophenax nivalis,41,4,18
Psittacula eupatria,41,4,15
Pteruthius rufiventer,41,5,12
Rubigula flaviventris,41,4,12
Treron apicauda,41,4,8
Caprimulgus macrurus,40,5,18
Coracias affinis,40,4,19
Hemiprocne coronata,40,5,10
Rhopophilus albosuperciliaris,40,2,30
Actinodura souliei,39,5,14
Certhia manipurensis,39,5,8
Circus pygargus,39,4,18
Pyrrhoplectes epauletta,39,4,11
Pyrrhula erythrocephala,39,3,10
Acanthis hornemanni,38,3,25
Dicaeum chrysorrheum,38,4,10
Indicator xanthonotus,38,4,12
Myzornis pyrrhoura,38,4,8
Niltava oatesi,38,5,21
Phylloscopus whistleri,38,3,15
Sinosuthora zappeyi,38,5,9
Falco severus,37,3,10
Ficedula hodgsoni,37,4,14
Leucosticte arctoa,37,3,14
Sittiparus varius,37,2,24
Vanellus indicus,37,5,8
Alcedo hercules,36,5,16
Carpodacus rodochroa,36,4,12
Lonchura atricapilla,36,4,16
Microcarbo niger,36,5,9
Trochalopteron lineatum,36,5,8
Napothera epilepidota,34,5,12
Phylloscopus burkii,34,3,22
Spelaeornis troglodytoides,34,5,13
Zoothera salimalii,34,4,13
Actinodura strigula,33,3,13
Anthracoceros albirostris,33,4,8
Arborophila brunneopectus,33,3,8
Cholornis paradoxus,33,3,15
Circus macrourus,33,4,16
Corvus cornix,33,2,26
Dendrocitta frontalis,33,4,7
Grus canadensis,33,4,16
Mixornis gularis,33,4,10
Phylloscopus hainanus,33,5,7
Prinia atrogularis,33,2,24
Psittacula derbiana,33,3,14
Zoothera marginata,33,5,8
Curruca nana,32,2,21
Hemitesia pallidipes,32,2,17
Hirundo smithii,32,4,8
Ianthocincla sukatschewi,32,3,12
Irena puella,32,5,9
Pericrocotus tegimae,32,2,20
Aerodramus fuciphagus,31,1,20
Branta bernicla,31,3,24
Heteroxenicus stellatus,31,5,14
Bambusicola sonorivox,30,2,19
Haliaeetus leucogaster,30,5,10
Locustella naevia,30,2,19
Mareca americana,30,2,19
Microcarbo pygmaeus,30,2,13
Pomatorhinus superciliaris,30,4,8
Sitta magna,30,5,12
Cissa chinensis,29,3,12
Hydrobates monorhis,29,2,18
Merops leschenaulti,29,5,7
Phylloscopus calciatilis,29,3,8
Phylloscopus xanthodryas,29,3,16
Tarsiger hyperythrus,29,4,12
Tickellia hodgsoni,29,5,11
Calliope pectoralis,28,3,19
Garrulax castanotis,28,5,6
Horornis brunnescens,28,2,10
Phylloscopus sindianus,28,3,16
Pterorhinus koslowi,28,2,8
Strix nebulosa,28,2,14
Aegithina lafresnayei,27,5,3
Arborophila ardens,27,5,4
Hirundo tahitica,27,2,13
Melanocorypha yeltoniensis,27,2,14
Ploceus philippinus,27,5,10
Stercorarius parasiticus,27,4,18
Aegolius funereus,26,4,13
Brachypteryx cruralis,26,2,12
Crex crex,26,4,14
Onychoprion fuscatus,26,3,18
Zosterops japonicus,26,2,15
Cyanoderma chrysaeum,25,2,9
Cyornis concretus,25,4,8
Ketupa zeylonensis,25,2,13
Otus brucei,25,3,15
Perisoreus infaustus,25,3,11
Psilopogon nuchalis,25,2,9
Sitta solangiae,25,5,3
Surnia ulula,25,2,9
Actinodura ramsayi,24,4,12
Calliope pectardens,24,2,13
Chrysocolaptes guttacristatus,24,4,8
Cochoa viridis,24,3,12
Helopsaltes ochotensis,24,3,16
Phylloscopus poliogenys,24,3,10
Temnurus temnurus,24,4,5
Turdus philomelos,24,4,8
Bubo nipalensis,23,4,9
Certhia discolor,23,3,6
Cochoa purpurea,23,4,11
Gracupica contra,23,5,5
Melanocorypha bimaculata,23,4,13
Melanocorypha calandra,23,2,8
Pomatorhinus musicus,23,2,10
Prunella koslowi,23,3,9
Syrmaticus humiae,23,4,10
Zoothera griseiceps,23,2,11
Columba pulchricollis,22,5,12
Gypsophila brevicaudata,22,4,6
Haliastur indus,22,3,17
Liocichla omeiensis,22,4,6
Picus squamatus,22,3,4
Polyplectron bicalcaratum,22,3,6
Stercorarius pomarinus,22,2,18
Turdus iliacus,22,2,10
Branta ruficollis,21,2,17
Gallinago nemoricola,21,5,5
Garrulax owstoni,21,3,16
Hydrornis soror,21,2,5
Psittacula alexandri,21,4,8
Ceyx erithaca,20,5,8
Chlamydotis macqueenii,20,3,10
Fulvetta ludlowi,20,3,6
Lymnocryptes minimus,20,4,15
Psittacula krameri,20,3,10
Pycnonotus leucogenys,20,3,6
Schoeniparus castaneceps,20,3,8
Stachyris nonggangensis,20,4,3
Acridotheres burmannicus,19,4,3
Amaurornis cinerea,19,2,7
Erythrogenys hypoleucos,19,2,8
Grammatoptila striata,19,3,7
Phalaropus fulicarius,19,3,14
Pterorhinus courtoisi,19,4,3
Pycnonotus taivanus,19,3,9
Coturnicops exquisitus,18,5,13
Cyornis rubeculoides,18,3,10
Glareola lactea,18,4,4
Gorsachius goisagi,18,3,16
Oriolus mellianus,18,4,5
Sterna aurantia,18,4,2
Treron phayrei,18,4,6
Zapornia paykullii,18,3,16
Arborophila rufipectus,17,4,7
Branta leucopsis,17,2,13
Haliaeetus pelagicus,17,2,6
Heterophasia auricularis,17,2,5
Hierococcyx varius,17,2,17
Liocichla phoenicea,17,3,6
Parayuhina bakeri,17,2,7
Sitta formosa,17,3,5
Tetrao urogalloides,17,3,7
Urocissa caerulea,17,2,7
Alcippe morrisonia,16,2,5
Amandava amandava,16,4,9
Anthreptes malacensis,16,3,5
Chrysococcyx xanthorhynchus,16,3,5
Curruca althaea,16,2,10
Cyornis poliogenys,16,4,7
Myophonus insularis,16,2,5
Pavo cristatus,16,4,8
Periparus rufonuchalis,16,3,9
Pitta sordida,16,4,5
Pomatorhinus ferruginosus,16,3,4
Rhyticeros undulatus,16,4,2
Thalasseus bengalensis,16,3,9
Trochalopteron morrisonianum,16,2,4
Batrachostomus hodgsoni,15,2,5
Buceros bicornis,15,3,5
Lagopus muta,15,2,5
Liocichla steerii,15,2,4
Loxia leucoptera,15,3,8
Pnoepyga immaculata,15,3,4
Sinosuthora przewalskii,15,4,4
Spelaeornis kinneari,15,3,5
Tarsiger johnstoniae,15,2,4
Yuhina brunneiceps,15,2,4
Zapornia bicolor,15,2,10
Acrocephalus schoenobaenus,14,3,6
Actinodura nipalensis,14,3,7
Aplonis panayensis,14,2,11
Calliope obscura,14,3,8
Carpodacus formosanus,14,2,4
Ficedula owstoni,14,3,9
Lophotriorchis kienerii,14,2,8
Lophura swinhoii,14,2,5
Microhierax caerulescens,14,3,2
Oriolus xanthornus,14,3,4
Regulus goodfellowi,14,3,4
Synoicus chinensis,14,3,9
Zoothera monticola,14,3,8
Branta canadensis,13,2,8
Garrulax taewanus,13,2,8
Harpactes wardi,13,4,5
Leioptila annectens,13,1,5
Niltava vivida,13,2,4
Pavo muticus,13,2,11
Perdix perdix,13,2,9
Psittacula roseata,13,2,4
Psittiparus ruficeps,13,3,2
Sula leucogaster,13,2,11
Thalasseus sandvicensis,13,2,7
Tyto javanica,13,1,8
Actinodura morrisoniana,12,2,4
Arborophila atrogularis,12,3,4
Ardenna tenuirostris,12,3,9
Cyanoderma pyrrhops,12,1,8
Dendrocopos macei,12,2,3
Harpactes oreskios,12,3,2
Lophophorus sclateri,12,4,8
Mulleripicus pulverulentus,12,2,3
Phylloscopus trochilus,12,2,12
Schoeniparus variegaticeps,12,2,5
Stercorarius longicaudus,12,2,9
Terpsiphone affinis,12,2,10
Tragopan satyra,12,3,4
Acridotheres javanicus,11,2,10
Acrocephalus melanopogon,11,2,7
Cinclidium frontale,11,3,3
Dicaeum agile,11,4,3
Erythrogenys erythrocnemis,11,2,4
Fulvetta formosana,11,2,4
Lagopus lagopus,11,1,6
Machlolophus holsti,11,2,4
Melanitta americana,11,3,10
Pnoepyga formosana,11,2,3
Syrmaticus mikado,11,2,3
Anous stolidus,10,1,10
Branta hutchinsii,10,2,7
Carpodacus grandis,10,1,10
Histrionicus histrionicus,10,2,9
Oenanthe picata,10,2,8
Phodilus badius,10,1,5
Phylloscopus sibilatrix,10,3,9
Sittiparus castaneoventris,10,2,3
Synthliboramphus antiquus,10,3,7
Tarsiger formosanus,10,2,5
Tetraogallus altaicus,10,1,6
Tetrax tetrax,10,2,4
Alaudala heinei,9,1,9
Arborophila crudigularis,9,2,3
Brachypteryx goodfellowi,9,2,4
Dryocopus javensis,9,2,7
Eudromias morinellus,9,2,3
Garrulax strepitans,9,3,3
Graminicola striatus,9,2,5
Halcyon coromanda,9,3,7
Leiopicus auriceps,9,1,4
Machlolophus xanthogenys,9,2,4
Saxicola insignis,9,1,9
Schoeniparus cinereus,9,2,2
Strix davidi,9,1,5
Carpodacus sillemi,8,1,4
Cercotrichas galactotes,8,2,4
Helopsaltes pleskei,8,1,8
Hirundapus giganteus,8,2,2
Larus glaucescens,8,3,8
Locustella alishanensis,8,2,4
Pterorhinus poecilorhynchus,8,2,3
Sula dactylatra,8,2,6
Sula sula,8,3,8
Treron bicinctus,8,1,5
Trochalopteron imbricatum,8,2,3
Zosterops meyeni,8,2,4
Alcurus striatus,7,2,2
Arborophila mandellii,7,2,4
Ardeola grayii,7,2,5
Brachyramphus perdix,7,3,4
Motacilla grandis,7,1,7
Mycteria leucocephala,7,1,7
Porzana porzana,7,2,5
Pterorhinus ruficeps,7,2,2
Ptyonoprogne concolor,7,3,4
Rhodopechys sanguineus,7,1,3
Stachyris humei,7,1,2
Sterna acuticauda,7,1,7
Treron formosae,7,2,3
Tropicoperdix chloropus,7,4,3
Aceros nipalensis,6,1,3
Ampeliceps coronatus,6,1,6
Ardenna pacifica,6,2,6
Brachypteryx hyperythra,6,1,2
Chloropsis cochinchinensis,6,2,6
Gavia adamsii,6,2,4
Geopelia striata,6,1,4
Napothera malacoptila,6,2,2
Ploceus manyar,6,2,2
Pluvialis apricaria,6,2,6
Pterorhinus ruficollis,6,2,3
Threskiornis melanocephalus,6,2,5
Brachypodius atriceps,5,1,5
Dendrocitta vagabunda,5,2,4
Dinopium javanense,5,3,3
Ducula aenea,5,3,3
Erythrogenys erythrogenys,5,2,4
Falco rusticolus,5,1,5
Fregata minor,5,3,5
Gampsorhynchus torquatus,5,2,4
Gavia pacifica,5,2,4
Glaucidium passerinum,5,2,4
Iduna pallida,5,1,5
Lanius vittatus,5,1,5
Macropygia ruficeps,5,2,4
Melanitta fusca,5,2,5
Pterorhinus caerulatus,5,1,2
Spelaeornis badeigularis,5,1,2
Turdus niveiceps,5,2,2
Turdus unicolor,5,3,3
Zapornia parva,5,1,4
Acrocephalus sorghophilus,4,3,2
Ardeola speciosa,4,1,4
Columba punicea,4,2,4
Euodice malabarica,4,1,4
Leptoptilos javanicus,4,2,4
Pelargopsis capensis,4,2,2
Phaethon lepturus,4,2,4
Polyplectron katsumatae,4,2,1
Psilopogon faiostrictus,4,1,3
Trochalopteron melanostigma,4,2,3
Calidris bairdii,3,1,3
Calidris subruficollis,3,2,3
Columba eversmanni,3,1,3
Cyanoderma ambiguum,3,1,3
Egretta picata,3,1,3
Estrilda melpoda,3,1,2
Ficedula hypoleuca,3,2,3
Gyps fulvus,3,1,3
Hydrobates leucorhous,3,1,3
Hydrornis nipalensis,3,2,2
Leucophaeus pipixcan,3,3,3
Lyncornis macrotis,3,1,3
Macropygia tenuirostris,3,2,1
Merops persicus,3,1,2
Mirafra javanica,3,2,3
Nisaetus cirrhatus,3,1,3
Nycticorax caledonicus,3,2,3
Otus elegans,3,2,1
Phaethon rubricauda,3,1,3
Phylloscopus ijimae,3,1,3
Remiz macronyx,3,1,2
Saxicola rubetra,3,1,3
Stachyris roberti,3,1,2
Sturnia pagodarum,3,2,3
Tachymarptis melba,3,3,2
Todiramphus chloris,3,2,2
Treron phoenicopterus,3,3,3
Tringa flavipes,3,1,3
Alcedo meninting,2,1,2
Anas luzonica,2,1,2
Aythya valisineria,2,1,2
Chroicocephalus novaehollandiae,2,1,2
Ciconia ciconia,2,1,2
Ciconia episcopus,2,2,2
Columba janthina,2,1,2
Erythrura prasina,2,1,1
Fregata andrewsi,2,2,2
Gallinago hardwickii,2,2,2
Glareola nordmanni,2,1,2
Ianthocincla bieti,2,1,2
Larvivora ruficeps,2,1,2
Lonchura oryzivora,2,2,2
Neophron percnopterus,2,2,2
Pelecanus philippensis,2,1,2
Phalacrocorax urile,2,1,2
Pitta moluccensis,2,2,2
Pomatorhinus schisticeps,2,2,2
Psittacula himalayana,2,1,1
Pterodroma hypoleuca,2,2,2
Ptilinopus leclancheri,2,1,2
Saxicola jerdoni,2,1,2
Tetrao urogallus,2,1,1
Anous minutus,1,1,1
Ardenna carneipes,1,1,1
Asarcornis scutulata,1,1,1
Aythya affinis,1,1,1
Aythya collaris,1,1,1
Butastur liventer,1,1,1
Calidris fuscicollis,1,1,1
Egretta novaehollandiae,1,1,1
Emberiza stewarti,1,1,1
Ficedula ruficauda,1,1,1
Geokichla wardii,1,1,1
Gygis alba,1,1,1
Gypsophila annamensis,1,1,1
Ianthocincla rufogularis,1,1,1
Kurochkinegramma hypogrammicum,1,1,1
Leucophaeus atricilla,1,1,1
Loriculus vernalis,1,1,1
Marmaronetta angustirostris,1,1,1
Monticola cinclorhyncha,1,1,1
Oceanites oceanicus,1,1,1
Pernis apivorus,1,1,1
Phoebastria albatrus,1,1,1
Phoebastria nigripes,1,1,1
Picus vittatus,1,1,1
Rallina fasciata,1,1,1
Sarcogyps calvus,1,1,1
Stercorarius maccormicki,1,1,1
Tragopan blythii,1,1,1
Treron seimundi,1,1,1
Turdus migratorius,1,1,1
Turnix sylvaticus,1,1,1
Vanellus leucurus,1,1,1
