term,estimate,std.error,z_statistic,p_value,component,species
psi(landcover_built),-0.3449690648199986,NA,NA,NA,initial_occupancy,Egretta garzetta
col(Int),-2.827857150290082,NA,NA,NA,colonization,Egretta garzetta
col(block_index),0.38141917305160783,NA,NA,NA,colonization,Egretta garzetta
col(built_rep),-0.010964268228408038,NA,NA,NA,colonization,Egretta garzetta
col(npp_rep),-0.1534200395930618,NA,NA,NA,colonization,Egretta garzetta
ext(Int),-3.3196943346029775,NA,NA,NA,extinction,Egretta garzetta
ext(block_index),-0.26463647456485734,NA,NA,NA,extinction,Egretta garzetta
ext(built_rep),1.301962597954828,NA,NA,NA,extinction,Egretta garzetta
ext(bio4),-6.125206156275163,NA,NA,NA,extinction,Egretta garzetta
p(Int),-2.1207194995536214,NA,NA,NA,other,Egretta garzetta
p(log_events),0.9794784585735392,NA,NA,NA,other,Egretta garzetta
p(log_observers),0.19076117421969527,NA,NA,NA,other,Egretta garzetta
p(duration_min),9.047040345238379e-7,NA,NA,NA,other,Egretta garzetta
psi(Int),-0.5351451117107913,NA,NA,NA,initial_occupancy,Tachybaptus ruficollis
psi(bio4),0.9149198910441658,NA,NA,NA,initial_occupancy,Tachybaptus ruficollis
psi(elev_sd),-0.003486583938604617,NA,NA,NA,initial_occupancy,Tachybaptus ruficollis
psi(texture_shannon),-0.08399264141274482,NA,NA,NA,initial_occupancy,Tachybaptus ruficollis
psi(npp_mean),-0.5502282778073415,NA,NA,NA,initial_occupancy,Tachybaptus ruficollis
psi(landcover_built),-0.14065243146898598,NA,NA,NA,initial_occupancy,Tachybaptus ruficollis
col(Int),-1.7883194415323198,NA,NA,NA,colonization,Tachybaptus ruficollis
col(block_index),0.2226351811755258,NA,NA,NA,colonization,Tachybaptus ruficollis
col(built_rep),-0.06380440023919007,NA,NA,NA,colonization,Tachybaptus ruficollis
col(npp_rep),-0.2295758072726151,NA,NA,NA,colonization,Tachybaptus ruficollis
ext(Int),-3.036933520090145,NA,NA,NA,extinction,Tachybaptus ruficollis
ext(block_index),-0.28906291113531984,NA,NA,NA,extinction,Tachybaptus ruficollis
ext(built_rep),0.5444368042061806,NA,NA,NA,extinction,Tachybaptus ruficollis
ext(bio4),-2.524554889343387,NA,NA,NA,extinction,Tachybaptus ruficollis
p(Int),-2.2476068075111577,NA,NA,NA,other,Tachybaptus ruficollis
p(log_events),1.2243758656572947,NA,NA,NA,other,Tachybaptus ruficollis
p(log_observers),-0.21209774893856767,NA,NA,NA,other,Tachybaptus ruficollis
p(duration_min),2.4437583004472263e-7,NA,NA,NA,other,Tachybaptus ruficollis
psi(Int),6.702648138108362,NA,NA,NA,initial_occupancy,Upupa epops
psi(bio4),2.8960182675525923,NA,NA,NA,initial_occupancy,Upupa epops
