species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year,candidate_rank
Turdus rubrocanus,719,5,165,2000,2024,246
Enicurus schistaceus,718,5,178,2000,2024,247
Linaria flavirostris,717,5,206,2000,2024,248
Caprimulgus jotaka,716,5,274,2000,2024,249
Eurystomus orientalis,713,5,215,2000,2024,250
Pericrocotus cantonensis,713,5,241,2002,2024,251
Podiceps nigricollis,712,5,270,2000,2024,252
Cuculus poliocephalus,710,5,252,2000,2024,253
Pandion haliaetus,707,5,278,2000,2024,254
Prunella strophiata,705,5,153,2000,2024,255
Poecile montanus,703,5,237,2000,2024,256
Passer domesticus,701,5,301,2000,2024,257
Muscicapa latirostris,699,5,237,2000,2023,258
Garrulax perspicillatus,697,5,156,2001,2023,259
Butastur indicus,692,5,257,2000,2024,260
Anser fabalis,687,5,277,2001,2024,261
Halcyon pileata,682,5,267,2000,2024,262
Enicurus scouleri,678,5,180,2000,2024,263
Pericrocotus speciosus,678,5,171,2000,2024,264
Cygnus cygnus,676,5,251,2002,2024,265
Acrocephalus bistrigiceps,672,5,259,2000,2024,266
Alcippe hueti,672,5,141,2000,2024,267
Phoenicurus erythrogastrus,670,5,234,2000,2024,268
Alcippe davidi,669,5,199,2001,2024,269
Dicaeum ignipectus,668,5,187,2000,2024,270
Emberiza fucata,668,5,266,2000,2024,271
Jynx torquilla,668,5,279,2000,2024,272
Larus vegae,668,4,300,2005,2024,273
Luscinia svecica,667,5,268,2000,2024,274
Dendronanthus indicus,664,5,240,2000,2024,275
Muscicapa dauurica,661,5,304,2003,2024,276
Prunella fulvescens,652,5,207,2000,2024,277
Remiz consobrinus,651,5,214,2000,2024,278
Phylloscopus pulcher,648,5,144,2000,2024,279
Turdus ruficollis,646,5,282,2000,2024,280
Coloeus dauuricus,644,5,207,2000,2023,281
Phylloscopus armandii,643,5,178,2000,2024,282
Phylloscopus coronatus,643,5,232,2000,2024,283
Calidris alpina,638,5,190,2000,2024,284
Cygnus columbianus,638,5,225,2000,2024,285
Numenius arquata,637,5,215,2000,2024,286
Otus sunia,635,5,239,2000,2024,287
Mergellus albellus,633,5,231,2001,2024,288
Pluvialis fulva,633,5,230,2000,2024,289
Oenanthe isabellina,632,5,230,2000,2024,290
Pyrgilauda ruficollis,629,5,157,2000,2024,291
Corvus pectoralis,628,5,202,2000,2024,292
Circus melanoleucos,623,5,266,2000,2024,293
Pnoepyga pusilla,622,5,182,2000,2024,294
Botaurus stellaris,620,5,246,2001,2024,295
Galerida cristata,620,5,263,2002,2024,296
