grid_cell,metric,trend_mean,trend_l95,trend_u95,p_pos,sig95
1099,corrected_richness,2.7495766222779725,2.380338190940165,3.179075488115962,1,TRUE
1100,corrected_richness,2.7762970257373145,2.477940766002629,3.159081932537938,1,TRUE
1101,corrected_richness,2.9298979573902635,2.6118701813149805,3.296222385806095,1,TRUE
1103,corrected_richness,3.1439167879964742,2.83180099807326,3.510141842440853,1,TRUE
1125,corrected_richness,4.101542273268502,3.71157245531374,4.497631371825809,1,TRUE
1126,corrected_richness,4.156502202412737,3.76421500851799,4.600569786427787,1,TRUE
1127,corrected_richness,4.113381427708649,3.678639835199018,4.503075150463447,1,TRUE
1128,corrected_richness,4.16312273437926,3.727857923117522,4.596993969720405,1,TRUE
1129,corrected_richness,4.186848522084771,3.6964756012678435,4.622833738966876,1,TRUE
1130,corrected_richness,3.5078365242540945,3.088335504236324,4.010532072868531,1,TRUE
1131,corrected_richness,2.9483247640635555,2.5033090554398076,3.3729428745741044,1,TRUE
1132,corrected_richness,2.7691841011003078,2.2528351479173074,3.201661520666621,1,TRUE
1133,corrected_richness,2.5945033776955584,2.098115451425086,3.0351029407861683,1,TRUE
1134,corrected_richness,2.499811941146257,2.023598130314907,2.898560555794554,1,TRUE
1136,corrected_richness,2.1849998897012592,1.7876270519539041,2.5834393006454257,1,TRUE
1137,corrected_richness,2.1490414120709924,1.7477184851006806,2.5561085172871736,1,TRUE
1138,corrected_richness,2.2783615338400605,1.9075037101493617,2.6760243562164554,1,TRUE
1139,corrected_richness,2.2568029948711055,1.8922476789908833,2.6764667829550253,1,TRUE
1140,corrected_richness,2.206219210411693,1.8067477678738544,2.5633825620779187,1,TRUE
1141,corrected_richness,2.1086937770966436,1.7647017570419175,2.4572080090584874,1,TRUE
1142,corrected_richness,1.9542601401828155,1.6344455130100828,2.326389084699607,1,TRUE
1143,corrected_richness,1.9998873407290367,1.670179321167931,2.3499871596522812,1,TRUE
1144,corrected_richness,2.7847116190048284,2.3902033508722016,3.116436433981953,1,TRUE
1145,corrected_richness,2.679207298126438,2.3118278857425283,3.035093242759358,1,TRUE
1161,corrected_richness,2.3730778438341433,2.0312138438323197,2.736903750108994,1,TRUE
1162,corrected_richness,2.4649335167902344,2.187781543711419,2.790486858765939,1,TRUE
1163,corrected_richness,2.441101133562264,2.1441068693207344,2.7632045392780182,1,TRUE
1164,corrected_richness,2.6760582812203437,2.3305582755026593,3.032199874086864,1,TRUE
1165,corrected_richness,2.864064822291193,2.501159466249283,3.2138071728793585,1,TRUE
1166,corrected_richness,2.853502836842066,2.4574408734234794,3.2458539493538967,1,TRUE
1167,corrected_richness,2.912157337352094,2.515820865423418,3.320284686920402,1,TRUE
1168,corrected_richness,3.0263351360591617,2.634428625656107,3.3867894750178658,1,TRUE
1169,corrected_richness,3.1920219047069787,2.778307926876586,3.5394655218291713,1,TRUE
1170,corrected_richness,3.2622496876902307,2.8908871751163345,3.6620213925629135,1,TRUE
1171,corrected_richness,3.2941741542697334,2.880479595982507,3.7317074361720755,1,TRUE
1172,corrected_richness,3.323997301663541,2.9092769494605966,3.7550040350132794,1,TRUE
1173,corrected_richness,3.305684497081608,2.9146639333952167,3.7057335513661713,1,TRUE
1175,corrected_richness,3.2837347829034296,2.8653114739005963,3.6455710282898823,1,TRUE
1196,corrected_richness,4.2126277796378915,3.727244075246999,4.698995072967119,1,TRUE
1197,corrected_richness,4.303489252829974,3.8703007542209833,4.8207552952067925,1,TRUE
1198,corrected_richness,4.373966229092866,3.936660741752436,4.847578886402157,1,TRUE
1199,corrected_richness,4.3042449238941405,3.8462631379849914,4.76230858703906,1,TRUE
1200,corrected_richness,4.5318402855278554,4.050233903470696,4.995784468936224,1,TRUE
1201,corrected_richness,4.31184613670826,3.828126339833987,4.805642952503725,1,TRUE
1202,corrected_richness,3.861843897711538,3.4102744009756787,4.426209604606832,1,TRUE
1203,corrected_richness,4.049460113458401,3.5551419963783153,4.541035419540402,1,TRUE
1204,corrected_richness,3.6260269339886055,3.1884474621704046,4.165464084041949,1,TRUE
1205,corrected_richness,3.6011786136862454,3.1731393045674237,4.110510131583921,1,TRUE
1206,corrected_richness,3.562743627929262,3.1698297849098536,4.046693727927541,1,TRUE
1207,corrected_richness,3.5835477489942256,3.1827881211832247,4.04703747164704,1,TRUE
1208,corrected_richness,3.7579793394345145,3.3771717285090728,4.204213289415701,1,TRUE
1209,corrected_richness,3.827307326849639,3.4005270259624254,4.278266798854141,1,TRUE
1210,corrected_richness,3.3609242630627176,2.959279092280554,3.7875952193599853,1,TRUE
