grid_cell,block_label,mean_local_sorensen
1127,2000-2004,0.11751686335545368
1128,2000-2004,0.11993536389226746
1129,2000-2004,0.1493009443966813
1130,2000-2004,0.11183686916815166
1131,2000-2004,0.10923167268950362
1132,2000-2004,0.09912280757230459
1133,2000-2004,0.10262647300870369
1134,2000-2004,0.09389514526911713
1136,2000-2004,0.07726653741506602
1137,2000-2004,0.07304082958037916
1138,2000-2004,0.06533762040482748
1139,2000-2004,0.063154897153554
1140,2000-2004,0.06622901044852728
1141,2000-2004,0.06656528590256056
1142,2000-2004,0.07502035790590979
1143,2000-2004,0.07554714056361599
1144,2000-2004,0.06503321056461497
1145,2000-2004,0.06690334684716914
1161,2000-2004,0.12224860368934665
1162,2000-2004,0.12649756707532758
1163,2000-2004,0.11996470442165862
1164,2000-2004,0.13964290523584655
1165,2000-2004,0.10334496592174479
1166,2000-2004,0.09481197197842196
1167,2000-2004,0.08296682521715798
1168,2000-2004,0.08296670834038775
1169,2000-2004,0.08608465295276312
1170,2000-2004,0.09087428674029427
1171,2000-2004,0.08306498183636411
1172,2000-2004,0.08790713218715507
1173,2000-2004,0.09461440488904033
1175,2000-2004,0.12106010140125714
1196,2000-2004,0.14220774288402568
1197,2000-2004,0.12932043529557868
1198,2000-2004,0.12523698695984628
1199,2000-2004,0.13056234029424932
1200,2000-2004,0.13270832291906678
1201,2000-2004,0.15253329185514927
1202,2000-2004,0.15633694430315181
1203,2000-2004,0.1282894763463315
1204,2000-2004,0.12268561651299584
1205,2000-2004,0.10512076052741781
1206,2000-2004,0.09639777594640281
1207,2000-2004,0.0867851626037104
1208,2000-2004,0.08186196019880668
1209,2000-2004,0.07881232038056805
1210,2000-2004,0.07934755437903895
1211,2000-2004,0.08532190988239206
1212,2000-2004,0.09136656478453785
1213,2000-2004,0.08042247262877612
1214,2000-2004,0.06987125387130043
1215,2000-2004,0.06593152590833887
1216,2000-2004,0.06152301429850725
1234,2000-2004,0.12175017080567681
1235,2000-2004,0.11542369909913028
1236,2000-2004,0.10046210862646963
1237,2000-2004,0.10202456418561547
1238,2000-2004,0.0865251642681733
1239,2000-2004,0.08548343361221594
1240,2000-2004,0.08015447945813339
1241,2000-2004,0.09046571957656778
1242,2000-2004,0.09550815635895717
1243,2000-2004,0.10857612631694376
1244,2000-2004,0.10164945730745231
1245,2000-2004,0.10701220422028991
1246,2000-2004,0.09818012424667964
1247,2000-2004,0.11303215345497486
1248,2000-2004,0.11245818689851807
1249,2000-2004,0.121699807503217
1268,2000-2004,0.15064457980593807
1269,2000-2004,0.15345551970293023
1270,2000-2004,0.1434157237343506
1271,2000-2004,0.1363153135034867
1272,2000-2004,0.1273917160804205
1273,2000-2004,0.12900211753510393
1274,2000-2004,0.12256982693239332
1275,2000-2004,0.1396695577975537
1276,2000-2004,0.1342608671734164
1277,2000-2004,0.09716372368456963
1279,2000-2004,0.10112090540394791
1280,2000-2004,0.12158828877707308
1281,2000-2004,0.09695306268273789
1282,2000-2004,0.08975233227828809
1283,2000-2004,0.08799980197995452
1284,2000-2004,0.07550416898668702
1285,2000-2004,0.07291786396104938
1286,2000-2004,0.06742727919800168
1287,2000-2004,0.06491280857231004
1288,2000-2004,0.0624862019039557
1289,2000-2004,0.06087105331286648
1305,2000-2004,0.11470191206187783
1306,2000-2004,0.11568485631979947
1307,2000-2004,0.11726612789478608
1308,2000-2004,0.1621714841909044
1309,2000-2004,0.1469685745323543
1312,2000-2004,0.10116098820067579
1313,2000-2004,0.10451877380365542
1314,2000-2004,0.10706365981696572
1315,2000-2004,0.1341426129461023
1316,2000-2004,0.12353935866617088
1319,2000-2004,0.1262032237821062
1320,2000-2004,0.14060268070191206
1321,2000-2004,0.15695137717840535
1322,2000-2004,0.17300322872870863
1328,2000-2004,0.19641588680326127
1339,2000-2004,0.16500495724340875
1340,2000-2004,0.17410249107620926
1341,2000-2004,0.18081756825595896
1342,2000-2004,0.1743554788968026
1344,2000-2004,0.13961712080697378
1345,2000-2004,0.14819280336435656
1346,2000-2004,0.14001677420428435
1348,2000-2004,0.1251284109977053
1349,2000-2004,0.10893365034822139
1350,2000-2004,0.12459192972188093
1351,2000-2004,0.10457173384789904
1352,2000-2004,0.09848198373166778
1353,2000-2004,0.0957273533636392
1354,2000-2004,0.08997718649283841
1355,2000-2004,0.08696697872066038
1356,2000-2004,0.08752605014118245
1357,2000-2004,0.10084475716521749
1358,2000-2004,0.09878010232953977
1359,2000-2004,0.10918772014981597
1360,2000-2004,0.07344370214473635
1361,2000-2004,0.08003405504078016
1377,2000-2004,0.13807257881035803
1379,2000-2004,0.10452257464928708
1380,2000-2004,0.10773608758689204
1381,2000-2004,0.09985158765463581
1382,2000-2004,0.11408381849631503
1383,2000-2004,0.10089398972858224
1384,2000-2004,0.11945983185812092
1385,2000-2004,0.13576821086309784
1386,2000-2004,0.14201608770353774
1393,2000-2004,0.16516864273672416
1400,2000-2004,0.14064120701967975
1401,2000-2004,0.13720006571238033
1410,2000-2004,0.17485922614504631
1412,2000-2004,0.1694759626476878
1413,2000-2004,0.16516829595461094
1414,2000-2004,0.15739067342305116
1415,2000-2004,0.15779073758045153
1416,2000-2004,0.17943930235072597
1417,2000-2004,0.13315451442363527
1418,2000-2004,0.1429452239025141
1419,2000-2004,0.12267906540330199
1420,2000-2004,0.1078704763412864
1421,2000-2004,0.10549826051249679
1422,2000-2004,0.09653275472253318
1423,2000-2004,0.10223370175197932
1424,2000-2004,0.11523449703239066
1425,2000-2004,0.09749018094436601
1426,2000-2004,0.08391747440713339
1427,2000-2004,0.09157115434629033
1428,2000-2004,0.10027386148599994
1429,2000-2004,0.1085599059129129
1430,2000-2004,0.10845039589971615
1447,2000-2004,0.09801574213658269
1448,2000-2004,0.10988868161584685
1449,2000-2004,0.13863936964926707
1450,2000-2004,0.12293804563606042
1452,2000-2004,0.11256195544307922
1453,2000-2004,0.11562171989440684
1454,2000-2004,0.11944273738949752
1455,2000-2004,0.1269233919708977
1456,2000-2004,0.11255719839765697
1462,2000-2004,0.134070850754026
1465,2000-2004,0.1319720147329105
1466,2000-2004,0.1282198181148117
1468,2000-2004,0.1403407438215633
1471,2000-2004,0.1701641394322426
1476,2000-2004,0.14650678169348
1477,2000-2004,0.12227626992365306
1479,2000-2004,0.10674956823563105
1480,2000-2004,0.11362273768187978
1481,2000-2004,0.09826265863962619
1482,2000-2004,0.11027567808407882
1483,2000-2004,0.12585809214448793
1484,2000-2004,0.13340115412306658
1485,2000-2004,0.14472311054779555
1486,2000-2004,0.14949907900006812
1487,2000-2004,0.14470655854507836
1488,2000-2004,0.14416111064493062
1489,2000-2004,0.16217929260640532
1490,2000-2004,0.2182187717347766
1491,2000-2004,0.2006731972060383
1492,2000-2004,0.10826797722657695
1493,2000-2004,0.10510219682928429
1494,2000-2004,0.09313000035290735
1495,2000-2004,0.09432299660230022
