species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year
Egretta eulophotes,199,4,68,2007,2024
Aethopyga saturata,198,5,44,2001,2024
Phylloscopus valentini,198,4,85,2009,2024
Erythrogenys swinhoei,197,4,87,2007,2024
Certhia himalayana,196,5,59,2000,2024
Dicaeum cruentatum,195,5,50,2000,2024
Elachura formosa,195,4,57,2007,2024
Yuhina occipitalis,195,5,49,2000,2024
Arundinax aedon,194,3,132,2010,2024
Locustella mandelli,194,5,80,2002,2024
Fulvetta striaticollis,191,5,46,2000,2024
Larus cachinnans,191,4,72,2007,2024
Machlolophus spilonotus,191,4,66,2006,2024
Clanga clanga,190,3,114,2011,2024
Micropternus brachyurus,190,5,56,2002,2024
Aquila fasciata,189,5,97,2002,2024
Spizixos canifrons,189,5,35,2000,2024
Ficedula narcissina,188,5,77,2004,2024
Cephalopyrus flammiceps,187,5,57,2000,2024
Merops apiaster,187,5,57,2001,2024
Motacilla flava,187,5,69,2001,2024
Paradoxornis heudei,187,4,82,2007,2024
Podoces hendersoni,187,5,88,2000,2024
Arachnothera magna,186,5,38,2001,2024
Alcippe fratercula,185,5,40,2000,2024
Anthus campestris,185,5,61,2001,2024
Hypsipetes amaurotis,185,4,74,2006,2024
Aquila heliaca,184,5,102,2002,2024
Buteo buteo,183,5,79,2002,2024
Linaria cannabina,183,5,62,2001,2024
Pycnonotus cafer,183,5,37,2002,2024
Grus japonensis,182,5,63,2000,2024
Ixobrychus flavicollis,182,4,85,2007,2024
Otis tarda,182,5,72,2002,2024
Calidris canutus,181,5,69,2000,2024
Schoeniparus brunneus,181,3,98,2011,2024
Artamus fuscus,180,5,59,2002,2024
Chrysolophus amherstiae,180,5,47,2000,2024
Ficedula hyperythra,180,5,61,2000,2024
Rhopodytes tristis,180,5,47,2001,2023
Anser erythropus,179,5,78,2002,2024
Phalaropus lobatus,179,5,102,2000,2024
Tarsiger indicus,179,5,56,2000,2024
Locustella thoracica,177,5,49,2000,2024
Numenius minutus,177,5,78,2002,2024
Alophoixus pallidus,176,5,31,2001,2024
Luscinia megarhynchos,175,5,52,2001,2024
Pastor roseus,175,5,69,2001,2024
Procarduelis nipalensis,175,5,51,2000,2024
Sitta przewalskii,175,5,42,2000,2024
Accipiter badius,174,5,71,2002,2024
Aethopyga siparaja,174,5,46,2002,2024
Columba oenas,174,5,69,2004,2024
Ianthocincla maxima,173,3,64,2012,2024
Lanius giganteus,173,5,66,2000,2024
Carpodacus davidianus,171,5,63,2002,2024
Chroicocephalus saundersi,170,5,53,2000,2023
Locustella davidi,170,5,67,2002,2024
Phylloscopus collybita,170,4,81,2007,2024
Pyrrhula nipalensis,170,5,63,2001,2024
Minla strigula,168,5,44,2000,2023
Hemipus picatus,166,5,37,2001,2024
Acanthis flammea,165,4,97,2009,2024
Crossoptilon auritum,165,5,41,2000,2024
Larvivora cyane,164,4,95,2009,2024
Cypsiurus balasiensis,163,5,37,2001,2024
Pycnonotus flaviventris,162,5,30,2001,2023
Francolinus pintadeanus,161,5,70,2000,2024
Helopsaltes certhiola,161,3,101,2010,2024
Spinus thibetanus,161,5,45,2000,2024
Yuhina flavicollis,161,5,40,2001,2024
Zoothera dixoni,161,5,46,2000,2024
Carpodacus trifasciatus,160,5,39,2000,2024
Dendrocopos darjellensis,158,5,37,2000,2024
Luscinia phaenicuroides,158,4,70,2009,2024
Mycerobas affinis,158,5,39,2002,2024
Anthus trivialis,157,4,63,2008,2024
Podiceps auritus,157,5,83,2003,2024
Saundersilarus saundersi,157,3,76,2013,2024
Calcarius lapponicus,156,5,80,2003,2024
Charadrius atrifrons,156,3,93,2010,2024
Gallicrex cinerea,155,5,92,2002,2024
Macropygia unchall,155,5,51,2002,2024
Prinia rufescens,155,5,56,2002,2024
Treron sphenurus,155,5,45,2000,2024
Muscicapa striata,154,5,52,2001,2024
Cyornis glaucicomans,153,5,57,2000,2024
Ficedula elisae,153,5,50,2000,2024
Pericrocotus roseus,153,5,49,2001,2024
Arborophila gingica,151,5,44,2002,2024
Pyrrhula pyrrhula,151,4,82,2005,2024
Charadrius veredus,150,4,77,2005,2024
Strix leptogrammica,150,4,58,2006,2024
Copsychus malabaricus,149,5,38,2001,2024
Tephrodornis virgatus,149,5,45,2003,2024
Carpodacus puniceus,148,5,65,2000,2024
Lanius collurioides,148,5,50,2002,2024
Phylloscopus tephrocephalus,148,3,79,2014,2024
Abroscopus superciliaris,147,5,36,2001,2024
Aviceda jerdoni,147,4,70,2006,2024
Dryobates minor,147,4,71,2005,2024
Melanocorypha mongolica,147,3,86,2013,2024
Picoides tridactylus,147,5,54,2000,2024
Seicercus omeiensis,147,5,39,2000,2023
Sitta frontalis,147,5,33,2001,2024
Acrocephalus arundinaceus,146,5,48,2001,2024
Merops philippinus,146,5,46,2002,2024
Turdus maximus,146,5,59,2000,2024
Curruca curruca,144,3,84,2011,2024
Oriolus traillii,144,5,34,2002,2024
Suthora verreauxi,144,5,38,2002,2024
Dendrocopos leucopterus,143,5,58,2001,2024
Garrulax albogularis,143,5,52,2001,2023
Neosuthora davidiana,143,5,45,2004,2024
Melanochlora sultanea,142,5,31,2003,2024
Phylloscopus intensior,142,5,44,2002,2024
Zapornia fusca,142,5,95,2002,2024
Garrulax ocellatus,141,5,42,2000,2023
Serinus pusillus,141,5,62,2002,2024
Alectoris magna,139,5,36,2001,2024
Seicercus soror,139,5,56,2002,2023
Sinosuthora conspicillata,139,5,41,2000,2024
Acrocephalus agricola,138,5,57,2001,2024
Calliope tschebaiewi,137,5,48,2000,2024
Seicercus affinis,137,5,58,2002,2023
Saxicola caprata,136,5,37,2000,2024
Trochalopteron henrici,136,5,40,2000,2024
Phoenicurus erythronotus,135,5,65,2003,2024
Grus leucogeranus,133,5,44,2000,2023
Dupetor flavicollis,132,5,57,2001,2023
Cecropis striolata,131,5,47,2002,2024
Cettia brunnifrons,131,5,44,2000,2024
Ficedula westermanni,131,5,40,2002,2024
Pnoepyga albiventer,131,5,28,2000,2024
Pelecanus crispus,130,5,64,2001,2024
Aquila clanga,129,5,65,2000,2023
Anthus rufulus,127,5,60,2000,2024
Circaetus gallicus,126,5,65,2001,2024
Phoenicurus alaschanicus,126,5,42,2000,2024
Pterorhinus chinensis,126,4,45,2005,2024
Anthus gustavi,125,5,59,2001,2024
Curruca communis,125,3,55,2011,2024
Leucogeranus leucogeranus,125,4,58,2004,2024
Pterorhinus berthemyi,125,4,53,2009,2024
Tesia cyaniventer,125,5,34,2001,2024
Coracina macei,123,5,48,2000,2024
Gallus gallus,123,5,44,2003,2024
Urocynchramus pylzowi,123,5,42,2000,2024
Niltava grandis,122,5,31,2002,2024
Sasia ochracea,122,4,36,2006,2024
Conostoma aemodium,121,5,24,2000,2024
Syrmaticus ellioti,121,5,44,2002,2024
Lanius excubitor,119,5,62,2001,2024
Phyllergates cucullatus,119,3,45,2012,2024
Phylloscopus emeiensis,119,5,35,2002,2024
Carpodacus subhimachalus,118,5,42,2000,2024
Certhia tianquanensis,118,5,26,2000,2024
Emberiza bruniceps,118,5,48,2001,2024
Phylloscopus soror,118,3,60,2007,2024
Abroscopus schisticeps,117,5,30,2001,2024
Aethopyga nipalensis,117,5,33,2002,2024
Ixobrychus minutus,117,4,41,2007,2024
Cygnus atratus,116,4,56,2009,2023
Porzana fusca,116,5,61,2000,2023
Stachyris nigriceps,115,5,21,2003,2024
Lanius collurio,114,5,43,2001,2024
Luscinia brunnea,113,5,35,2000,2023
Psarisomus dalhousiae,113,5,20,2002,2024
Terpsiphone atrocaudata,113,3,46,2012,2024
Ianthocincla lunulata,112,5,32,2000,2024
Lanius borealis,112,4,66,2007,2024
Acrocephalus dumetorum,111,4,45,2007,2024
Staphida castaniceps,111,5,34,2002,2024
Trochalopteron milnei,111,5,25,2002,2024
Ianthocincla cineracea,110,3,60,2009,2024
Ianthocincla ocellata,110,2,38,2015,2024
Dicaeum melanozanthum,109,5,42,2003,2024
Phoenicurus phoenicurus,109,4,48,2008,2024
Riparia chinensis,109,5,28,2001,2024
Streptopelia turtur,109,5,45,2001,2024
Turdus feae,109,5,28,2000,2024
Nyctyornis athertoni,108,5,23,2003,2024
Phylloscopus intermedius,108,3,52,2013,2024
Psilopogon franklinii,108,5,27,2002,2024
Fulvetta manipurensis,107,5,32,2000,2024
Grandala coelicolor,107,5,42,2000,2024
Carpodacus verreauxii,106,5,35,2002,2024
Emberiza cia,106,5,55,2001,2024
Poecile davidi,106,5,26,2000,2024
Rallus aquaticus,106,4,60,2007,2024
Sylvia communis,106,5,40,2001,2023
Carpodacus edwardsii,105,5,30,2002,2024
Circus aeruginosus,105,5,63,2001,2024
Carpodacus lepidus,103,3,59,2012,2024
Emberiza buchanani,103,5,44,2001,2024
Hemixos flavala,103,4,18,2005,2024
Pterorhinus albogularis,103,3,42,2012,2024
Sitta yunnanensis,103,5,33,2000,2024
Sturnia malabarica,103,5,36,2002,2024
Treron sieboldii,103,4,48,2005,2024
Locustella chengi,102,5,32,2004,2024
Rhinomyias brunneatus,102,5,41,2002,2023
Lanius minor,101,5,38,2001,2024
Cyanoptila cumatilis,100,4,42,2007,2024
Trochalopteron formosum,100,5,18,2000,2024
Turdus albocinctus,100,5,29,2001,2024
Iduna caligata,99,5,40,2001,2024
Remiz coronatus,99,5,44,2001,2024
Sitta himalayensis,99,5,33,2002,2024
Tetrastes sewerzowi,99,5,24,2000,2024
Zoothera dauma,99,5,44,2001,2024
Zoothera mollissima,99,5,32,2002,2024
Tragopan caboti,98,5,27,2002,2024
Turnix tanki,98,5,59,2000,2024
Chrysococcyx maculatus,97,4,44,2006,2024
Prunella atrogularis,97,4,47,2007,2024
Pteruthius melanotis,97,5,25,2002,2024
Stachyridopsis chrysaea,97,5,18,2002,2023
Aethopyga ignicauda,95,5,27,2000,2024
Chrysophlegma flavinucha,95,5,20,2003,2024
Urocissa flavirostris,95,5,28,2001,2024
Actinodura egertoni,94,5,13,2002,2024
Cinnyris jugularis,94,4,29,2005,2024
Pitta nympha,94,3,50,2012,2024
Pycnonotus flavescens,94,5,18,2002,2024
Tyto longimembris,94,5,46,2000,2024
Cisticola exilis,93,4,46,2009,2024
Macronus gularis,93,5,16,2002,2023
Tringa guttifer,93,4,45,2005,2024
Corvus monedula,92,2,47,2015,2024
Cyornis brunneatus,92,3,50,2012,2024
Passer hispaniolensis,92,5,49,2001,2024
Charadrius dealbatus,91,2,56,2015,2024
Oriolus oriolus,91,4,37,2001,2024
Gallinago solitaria,90,5,49,2004,2024
Picus chlorolophus,90,5,18,2003,2024
Pyrgilauda davidiana,90,5,23,2000,2024
Spilopelia senegalensis,90,5,41,2000,2024
Turdus pilaris,90,4,32,2008,2024
Alcippe castaneceps,89,5,27,2001,2023
Curruca minula,89,2,59,2015,2024
Emberiza hortulana,89,4,33,2006,2024
Chlidonias niger,88,5,36,2001,2024
Haliaeetus leucoryphus,88,5,47,2000,2024
Zapornia pusilla,88,3,52,2014,2024
Caprimulgus europaeus,87,5,40,2001,2024
Cyornis unicolor,87,5,34,2002,2024
Cettia major,86,5,27,2000,2024
Dicrurus paradiseus,86,5,18,2002,2024
Acrocephalus concinens,85,4,55,2006,2024
Carpodacus roborowskii,85,5,27,2000,2024
Timalia pileata,85,4,27,2007,2024
Psilopogon haemacephalus,84,5,15,2002,2024
Pycnonotus striatus,84,5,15,2002,2023
Tetraophasis obscurus,84,5,21,2000,2024
Dicrurus remifer,83,4,16,2005,2024
Suthora fulvifrons,83,5,21,2000,2024
Tetraophasis szechenyii,83,5,22,2000,2024
Dicrurus annectens,82,5,27,2002,2024
Nipponia nippon,82,5,23,2002,2024
Pellorneum ruficeps,82,5,14,2002,2023
Brachypteryx montana,81,5,25,2002,2023
Cholornis unicolor,81,5,21,2000,2024
Phylloscopus chloronotus,81,5,33,2001,2024
Phylloscopus fuligiventer,81,5,28,2002,2024
Tetrastes bonasia,81,5,41,2000,2024
Thalasseus bergii,81,3,34,2012,2024
Gallirallus striatus,80,5,47,2003,2023
Otus scops,80,4,29,2006,2024
Phaenicophaeus tristis,80,4,28,2006,2024
Aegithina tiphia,79,5,14,2001,2023
Caprimulgus affinis,79,4,33,2006,2024
Carpodacus thura,79,5,28,2004,2024
Emberiza citrinella,79,3,35,2014,2024
Ficedula parva,79,4,45,2001,2024
Mycerobas melanozanthos,79,5,35,2003,2024
Rallina eurizonoides,79,3,51,2010,2024
Heterophasia pulchella,78,5,19,2001,2024
Plegadis falcinellus,78,4,63,2004,2024
Curruca nisoria,77,3,43,2011,2024
Locustella tacsanowskia,77,5,42,2001,2024
Serilophus lunatus,77,5,14,2003,2024
Anastomus oscitans,76,4,28,2007,2024
Iduna rama,76,4,38,2008,2024
Porphyrio porphyrio,76,5,18,2003,2023
Sterna sumatrana,76,3,32,2000,2024
Turdus chrysolaus,76,4,42,2004,2024
Moupinia poecilotis,75,5,24,2000,2024
Rissa tridactyla,75,4,46,2007,2024
Sylvia nisoria,75,5,30,2001,2023
Aegithalos bonvaloti,74,3,39,2012,2024
Pterocles orientalis,74,5,30,2001,2024
Clangula hyemalis,73,4,44,2004,2024
Cuculus nisicolor,73,5,45,2002,2023
Delichon nipalense,73,5,25,2000,2024
Ducula badia,73,5,19,2003,2024
Iole propinqua,73,5,15,2001,2024
Ketupa flavipes,73,5,28,2002,2024
Schoeniparus dubius,73,3,40,2014,2024
Sitta cinnamoventris,73,5,25,2001,2024
Chrysomma sinense,72,4,16,2005,2024
Stachyris strialata,72,5,19,2003,2024
Anas poecilorhyncha,71,5,19,2002,2024
Brachypteryx sinensis,71,5,35,2002,2024
Calidris pygmaea,71,4,22,2002,2024
Phylloscopus omeiensis,71,2,36,2016,2024
Porzana pusilla,71,5,32,2000,2023
Carpodacus stoliczkae,70,5,19,2000,2024
Egretta sacra,70,5,24,2000,2024
Seicercus poliogenys,70,4,21,2007,2023
Sinosuthora brunnea,70,5,15,2000,2024
Columba palumbus,69,4,28,2001,2024
Coturnix coturnix,69,5,30,2001,2024
Napothera brevicaudata,69,4,17,2005,2023
Syrrhaptes tibetanus,69,5,38,2000,2024
Tesia olivea,69,4,17,2005,2024
Cettia cetti,68,4,26,2007,2024
Phoenicurus coeruleocephala,68,4,31,2003,2024
Picoides kizuki,68,4,37,2007,2024
Alophoixus flaveolus,67,5,14,2002,2024
Ficedula superciliaris,67,5,28,2001,2024
Melanitta stejnegeri,67,5,43,2002,2024
Prinia crinigera,67,5,24,2002,2024
Chloropsis moluccensis,66,5,10,2001,2023
Heterophasia picaoides,66,5,10,2003,2023
Tarsiger albocoeruleus,66,4,41,2009,2024
Perisoreus internigrans,65,5,16,2000,2024
Turnix suscitator,65,5,40,2003,2024
Garrulax sukatschewi,64,5,14,2002,2023
Leiothrix argentauris,64,3,24,2012,2024
Lewinia striata,64,2,33,2015,2024
Pellorneum tickelli,64,5,15,2002,2024
Phylloscopus borealoides,64,3,31,2014,2024
Urocissa whiteheadi,64,5,13,2004,2024
Alcippe poioicephala,63,5,14,2001,2023
Anthus sylvanus,63,5,43,2002,2024
Emberiza koslowi,63,5,15,2000,2024
Otus semitorques,63,4,41,2000,2024
Strix uralensis,63,4,35,2005,2024
Dendrocygna javanica,62,4,27,2006,2024
Phylloscopus examinandus,62,3,30,2011,2024
Erithacus akahige,61,5,25,2002,2023
Megalurus palustris,61,5,20,2002,2024
Phalacrocorax capillatus,61,3,33,2011,2024
Prunella himalayana,61,4,28,2009,2024
Calandrella dukhunensis,60,4,49,2006,2024
Larus schistisagus,60,5,35,2002,2024
Phylloscopus griseolus,60,4,38,2008,2024
Podoces biddulphi,60,5,28,2001,2024
Coloeus monedula,59,5,24,2001,2023
Cuculus hyperythrus,59,5,25,2002,2023
Liocichla ripponi,59,5,10,2004,2024
Trochalopteron erythrocephalum,59,5,16,2001,2024
Certhia nipalensis,58,4,17,2005,2024
Ficedula sapphira,58,5,24,2002,2024
Garrulax maesi,58,5,25,2002,2024
Gorsachius magnificus,58,5,31,2001,2024
Heterophasia annectans,58,5,12,2001,2023
Oriolus kundoo,58,3,31,2011,2024
Oriolus tenuirostris,58,4,17,2007,2024
Gorsachius melanolophus,57,2,28,2016,2024
Lyrurus tetrix,57,3,26,2013,2024
Acrocephalus scirpaceus,56,5,24,2001,2024
Apus cooki,56,3,33,2011,2024
Gecinulus grantia,56,4,20,2009,2024
Luscinia pectardens,56,5,16,2000,2023
Acrocephalus stentoreus,55,4,17,2002,2024
Agraphospiza rubescens,55,5,28,2002,2024
Anthus pratensis,55,4,33,2004,2024
Heterophasia gracilis,55,4,9,2005,2023
Yungipicus kizuki,55,4,22,2009,2023
Dendrocopos atratus,54,4,11,2006,2024
Carpodacus sipahi,53,5,21,2001,2024
Crossoptilon harmani,53,5,18,2000,2024
Heterophasia capistrata,53,5,16,2001,2024
Orthotomus atrogularis,53,4,15,2006,2024
Pomatorhinus ochraceiceps,53,5,10,2003,2024
Pteruthius intermedius,53,5,20,2001,2024
Arachnothera longirostra,52,5,16,2002,2024
Bambusicola fytchii,52,5,20,2001,2024
Locustella pryeri,52,5,26,2001,2023
Onychoprion anaethetus,52,4,25,2000,2024
Oxyura leucocephala,52,4,23,2007,2024
Porphyrio poliocephalus,52,2,18,2016,2024
Syrmaticus reevesii,52,4,19,2008,2024
Emberiza calandra,51,4,28,2001,2024
Hierococcyx nisicolor,51,2,37,2018,2024
Limnodromus scolopaceus,51,4,35,2003,2024
Arborophila rufogularis,50,4,17,2005,2024
Podiceps grisegena,50,4,39,2005,2024
Treron curvirostra,50,5,18,2004,2024
Gracula religiosa,49,5,20,2000,2024
Microhierax melanoleucos,49,5,11,2002,2024
Montifringilla nivalis,49,3,31,2011,2024
Ninox scutulata,49,5,25,2002,2024
Porzana bicolor,49,4,19,2007,2023
Trochalopteron chrysopterum,49,5,10,2002,2024
Arborophila torqueola,48,5,17,2002,2024
Babax koslowi,48,5,7,2000,2023
Emberiza jankowskii,48,5,20,2003,2024
Emberiza sulphurata,48,4,21,2008,2024
Garrulax leucolophus,48,4,15,2009,2024
Lerwa lerwa,48,5,14,2002,2024
Locustella luscinioides,48,5,19,2001,2024
Babax waddelli,47,5,14,2000,2023
Carpodacus rhodochlamys,47,3,30,2010,2024
Falco vespertinus,47,3,20,2012,2024
Phylloscopus xanthoschistos,47,5,14,2001,2024
Suthora nipalensis,47,5,12,2002,2024
Chelidorhynx hypoxanthus,46,2,20,2019,2024
Cissa hypoleuca,46,5,9,2003,2024
Crossoptilon mantchuricum,46,5,9,2001,2024
Hierococcyx hyperythrus,46,3,33,2013,2024
Psittiparus bakeri,46,4,9,2005,2024
Trochalopteron squamatum,46,4,11,2007,2024
Bubo scandiacus,45,3,16,2013,2024
Burhinus oedicnemus,45,4,19,2008,2024
Cacomantis sonneratii,45,4,14,2008,2024
Cholornis paradoxa,45,5,14,2000,2023
Gavia arctica,45,4,31,2007,2024
Acridotheres grandis,44,5,20,2002,2024
Erithacus rubecula,44,4,24,2007,2024
Lophura leucomelanos,44,4,11,2001,2024
Merops orientalis,44,4,16,2007,2024
Phylloscopus cantator,44,4,14,2006,2024
Alcippe nipalensis,43,3,9,2013,2024
Chloropsis aurifrons,43,5,12,2002,2024
Cinnyris asiaticus,43,4,11,2001,2023
Larus hyperboreus,43,3,20,2010,2024
Larvivora brunnea,43,3,27,2014,2024
Lophophorus lhuysii,43,5,14,2000,2024
Parus cinereus,43,5,7,2004,2023
Sterna dougallii,43,4,20,2000,2024
Tetraogallus himalayensis,43,3,25,2011,2024
Emberiza personata,42,4,32,2006,2024
Glareola pratincola,42,4,18,2001,2024
Hydrocoloeus minutus,42,4,29,2007,2024
Larus genei,42,4,26,2007,2024
Lophophorus impejanus,42,4,10,2001,2024
Pinicola enucleator,42,4,24,2005,2024
Pomatorhinus hypoleucos,42,5,11,2003,2023
Psilopogon duvaucelii,42,5,11,2001,2023
Pterorhinus waddelli,42,3,18,2010,2024
Trochalopteron subunicolor,42,4,12,2006,2024
Acrocephalus tangorum,41,5,28,2004,2024
Anser caerulescens,41,3,18,2010,2024
Anthipes monileger,41,4,12,2007,2024
Chloris spinoides,41,5,12,2001,2024
Emberiza melanocephala,41,3,30,2010,2024
Phoenicopterus roseus,41,2,26,2015,2024
Poecile varius,41,4,18,2007,2023
Pteruthius rufiventer,41,5,12,2002,2024
Rubigula flaviventris,41,4,12,2006,2024
Carpodacus rodopeplus,40,5,15,2001,2024
Enicurus immaculatus,40,5,14,2002,2024
Garrulax striatus,40,5,11,2001,2023
Pelecanus onocrotalus,40,4,26,2008,2024
Pellorneum albiventre,40,4,12,2005,2024
Rhopophilus albosuperciliaris,40,2,30,2018,2024
Vanellus duvaucelii,40,4,9,2007,2024
Certhia manipurensis,39,5,8,2002,2023
Circus pygargus,39,4,18,2008,2024
Cutia nipalensis,39,5,11,2002,2024
Helopsaltes pryeri,39,3,21,2008,2024
Plectrophenax nivalis,39,3,16,2013,2024
Urosphena pallidipes,39,4,19,2008,2023
Actinodura waldeni,38,4,10,2005,2024
Caprimulgus macrurus,38,5,17,2002,2024
Chalcoparia singalensis,38,5,13,2002,2023
Coracias affinis,38,4,19,2002,2024
Helopsaltes fasciolatus,38,3,30,2012,2024
Larvivora akahige,38,3,19,2012,2024
Sinosuthora zappeyi,38,5,9,2004,2024
Acanthis hornemanni,37,3,24,2013,2024
Acridotheres albocinctus,37,4,5,2007,2023
Actinodura souliei,37,5,13,2002,2024
Chleuasicus atrosuperciliaris,37,5,6,2002,2024
Gampsorhynchus rufulus,37,5,6,2003,2023
Leucosticte arctoa,37,3,14,2013,2024
Psittacula finschii,37,5,15,2002,2024
Trochalopteron variegatum,37,5,7,2001,2024
Charadrius hiaticula,36,4,25,2009,2024
Indicator xanthonotus,36,4,11,2005,2024
Pyrrhula erythrocephala,36,3,9,2010,2024
Alcedo hercules,35,5,15,2001,2024
Alcippe cinerea,35,5,9,2002,2023
Myzornis pyrrhoura,35,4,8,2002,2024
Treron apicauda,35,4,8,2008,2023
Carpodacus rodochroa,34,4,12,2009,2024
Falco severus,34,3,9,2013,2024
Hemiprocne coronata,34,5,10,2002,2024
Hirundapus cochinchinensis,34,3,21,2011,2024
Microcarbo niger,34,5,9,2002,2024
Niltava oatesi,34,5,21,2000,2024
Pyrrhoplectes epauletta,34,4,10,2006,2024
Sittiparus varius,34,2,22,2010,2024
Trochalopteron lineatum,34,5,7,2001,2024
Zoothera salimalii,34,4,13,2005,2024
Arborophila brunneopectus,33,3,8,2013,2024
Cholornis paradoxus,33,3,15,2009,2024
Dicaeum chrysorrheum,33,4,10,2006,2023
Ficedula hodgsoni,33,4,13,2005,2024
Lonchura atricapilla,33,4,15,2006,2024
Mixornis gularis,33,4,10,2006,2024
Phylloscopus whistleri,33,2,14,2018,2024
Psittacula derbiana,33,3,14,2012,2024
Spelaeornis troglodytoides,33,5,13,2002,2024
Cairina moschata,32,3,22,2014,2023
Corvus cornix,32,2,25,2017,2024
Corvus splendens,32,5,23,2001,2024
Garrulax ruficollis,32,5,6,2002,2023
Ianthocincla sukatschewi,32,3,12,2009,2024
Napothera epilepidota,32,5,10,2002,2024
Psittacula eupatria,32,3,13,2013,2024
Thalasseus bernsteini,32,3,16,2010,2024
Zoothera marginata,32,5,8,2001,2023
Actinodura strigula,31,3,13,2013,2024
Calidris melanotos,31,4,24,2007,2024
Circus macrourus,31,4,15,2008,2024
Curruca nana,31,2,20,2015,2024
Irena puella,31,5,9,2002,2023
Phylloscopus hainanus,31,5,6,2003,2024
Anthracoceros albirostris,30,4,8,2009,2024
Bambusicola sonorivox,30,2,19,2016,2024
Garrulax caerulatus,30,4,7,2005,2023
Heteroxenicus stellatus,30,5,14,2003,2024
Locustella naevia,30,2,19,2015,2024
Microcarbo pygmaeus,30,2,13,2018,2024
Calonectris leucomelas,29,4,20,2005,2024
Cissa chinensis,29,3,12,2013,2024
Gavia stellata,29,4,19,2008,2024
Hemitesia pallidipes,29,2,15,2015,2024
Phylloscopus burkii,29,3,19,2014,2024
Pomatorhinus phayrei,29,5,9,2002,2023
Prinia atrogularis,29,2,21,2018,2024
Seicercus whistleri,29,4,14,2007,2023
Sitta magna,29,5,11,2002,2024
Sylvia nana,29,5,15,2001,2023
Tarsiger hyperythrus,29,4,12,2003,2024
Vanellus indicus,29,4,8,2002,2023
Calliope pectoralis,28,3,19,2014,2024
Garrulax castanotis,28,5,6,2003,2024
Grus canadensis,28,4,14,2007,2024
Phylloscopus calciatilis,28,3,8,2011,2024
Phylloscopus sindianus,28,3,16,2011,2024
Pomatorhinus superciliaris,28,4,6,2007,2024
Pterorhinus koslowi,28,2,8,2015,2024
Tickellia hodgsoni,28,5,11,2002,2024
Aegithina lafresnayei,27,5,3,2002,2023
Dendrocitta frontalis,27,2,7,2015,2024
Horornis brunnescens,27,2,10,2018,2024
Melanocorypha yeltoniensis,27,2,14,2018,2024
Strix nebulosa,27,2,13,2016,2024
Aegolius funereus,26,4,13,2009,2024
Aerodramus fuciphagus,26,1,15,2020,2024
Arborophila ardens,26,5,3,2003,2024
Brachypteryx cruralis,26,2,12,2018,2024
Crex crex,26,4,14,2001,2024
Hypogramma hypogrammicum,26,4,7,2006,2023
Alcippe variegaticeps,25,4,7,2005,2023
Branta bernicla,25,3,19,2010,2024
Hirundo tahitica,25,2,11,2016,2024
Otus brucei,25,3,15,2001,2024
Pericrocotus tegimae,25,2,17,2014,2024
Perisoreus infaustus,25,3,11,2012,2024
Surnia ulula,25,2,9,2015,2024
Actinodura ramsayi,24,4,12,2006,2024
Calliope pectardens,24,2,13,2015,2024
Cyanoderma chrysaeum,24,2,8,2015,2024
Cyornis concretus,24,4,8,2007,2023
Merops leschenaulti,24,5,7,2002,2023
Psilopogon nuchalis,24,2,8,2016,2024
Sitta solangiae,24,5,3,2003,2024
Turdus philomelos,24,4,8,2008,2024
Cochoa viridis,23,3,11,2006,2024
Fregata ariel,23,4,17,2007,2024
Melanocorypha bimaculata,23,4,13,2001,2024
Melanocorypha calandra,23,2,8,2018,2024
Prunella koslowi,23,3,9,2011,2024
Spelaeornis reptatus,23,4,5,2005,2023
Syrmaticus humiae,23,4,10,2007,2023
Zoothera griseiceps,23,2,11,2017,2024
Bubo nipalensis,22,4,9,2006,2024
Cochoa purpurea,22,4,11,2000,2024
Gypsophila brevicaudata,22,4,6,2006,2024
Ketupa zeylonensis,22,2,13,2016,2023
Liocichla omeiensis,22,4,6,2003,2024
Phylloscopus poliogenys,22,3,9,2014,2024
Polyplectron bicalcaratum,22,3,6,2011,2024
Temnurus temnurus,22,4,4,2007,2024
Turdus iliacus,22,2,10,2016,2024
Agropsar philippensis,21,3,18,2010,2024
Certhia discolor,21,3,6,2001,2024
Chrysocolaptes guttacristatus,21,3,8,2013,2023
Gallinago nemoricola,21,5,5,2000,2024
Hydrornis soror,21,2,5,2015,2024
Mareca americana,21,1,14,2020,2024
Picus squamatus,21,3,4,2001,2024
Pitta soror,21,5,4,2003,2023
Yuhina bakeri,21,4,6,2009,2023
Branta ruficollis,20,2,16,2018,2024
Chlamydotis macqueenii,20,3,10,2006,2024
Fulvetta ludlowi,20,3,6,2010,2024
Pomatorhinus musicus,20,2,7,2016,2024
Stachyris nonggangensis,20,4,3,2008,2024
Aerodramus germani,19,4,11,2007,2023
Ceyx erithaca,19,5,8,2002,2023
Erythrogenys hypoleucos,19,2,8,2016,2024
Ploceus philippinus,19,3,9,2012,2023
Porzana paykullii,19,3,12,2011,2023
Pterorhinus courtoisi,19,4,3,2008,2024
Sphenocichla roberti,19,4,5,2006,2023
Zosterops japonicus,19,2,10,2019,2024
Amaurornis cinerea,18,2,6,2018,2024
Columba pulchricollis,18,5,10,2003,2024
Glareola lactea,18,4,4,2009,2023
Haliastur indus,18,2,15,2013,2024
Hirundo smithii,18,4,7,2008,2023
