covariate,species,mean,l95,u95,sig95
bio13,Fulica atra,0.576398759993187,0.2932792019370804,0.9161580600698261,TRUE
bio13,Gallinula chloropus,0.7886911258494285,0.38599914222380544,1.2014318239283912,TRUE
bio13,Hirundo rustica,0.031468121835626535,-0.3505288353034438,0.4331622690156486,FALSE
bio13,Lanius cristatus,0.3092076204220127,-0.10654024016587134,0.7152021698824628,FALSE
bio13,Lanius schach,0.7773762566754429,0.5089321684297852,1.075615993169185,TRUE
bio13,Milvus migrans,-0.10026126866564533,-0.2885684034806487,0.08690716025849318,FALSE
bio13,Motacilla alba,0.3810247491125592,-0.17971966713758109,0.9602334315462238,FALSE
bio13,Motacilla cinerea,0.07995270719645498,-0.24869907159956206,0.523868928128544,FALSE
bio13,Nycticorax nycticorax,1.1549798005179521,0.8259143045284126,1.4817977360100576,TRUE
bio13,Parus minor,0.6230150570830054,0.3632754980711086,0.9501977393060499,TRUE
bio13,Passer montanus,0.8616114209446553,0.1874832701475585,1.6516655387406498,TRUE
bio13,Phalacrocorax carbo,-0.019995871453536266,-0.3783961290204718,0.364908975462542,FALSE
bio13,Phasianus colchicus,1.0482401806652357,0.5146133401955472,1.7604199117187624,TRUE
bio13,Phoenicurus auroreus,0.2780281582272528,-0.04014156195114082,0.6231393133896086,FALSE
bio13,Phoenicurus fuliginosus,0.6173025825522148,0.3303822366148179,0.9148279648652586,TRUE
bio13,Phylloscopus inornatus,0.39326724075023833,0.014167876461588125,0.767542784208605,TRUE
bio13,Phylloscopus proregulus,0.4619258078231143,-0.04746357290274966,1.0211405977791796,FALSE
bio13,Pica serica,0.8127209965924357,0.4308515202049328,1.1802233732098435,TRUE
bio13,Podiceps cristatus,0.739732124344243,0.25689168720971867,1.4610567587303134,TRUE
bio13,Pycnonotus sinensis,1.763779855765352,1.3400240435833952,2.241907574990583,TRUE
bio13,Sinosuthora webbiana,1.7604625340828304,1.30255806127763,2.3126605835986602,TRUE
bio13,Spilopelia chinensis,1.7069565157854651,1.2948148301262385,2.169012585434376,TRUE
bio13,Spizixos semitorques,0.7741594201226328,0.46873190256510355,1.1202573132060145,TRUE
bio13,Spodiopsar cineraceus,0.6025300491946619,0.1411460755860736,1.0616504302976117,TRUE
bio13,Streptopelia orientalis,0.08844263156484666,-0.20811706976477445,0.38547611510085256,FALSE
bio13,Tachybaptus ruficollis,0.7058629108028457,0.3758416889867507,1.0611513083272774,TRUE
bio13,Tadorna ferruginea,0.4241206409144446,0.14645402237133556,0.735523892738487,TRUE
bio13,Tarsiger cyanurus,0.6236205627736945,0.2229632162817184,1.0857634464327952,TRUE
bio13,Tringa ochropus,0.5643411480736067,0.21305266735449696,0.9792489197836078,TRUE
bio13,Turdus mandarinus,0.9793526874992102,0.7024122025630071,1.2649759680383543,TRUE
bio13,Upupa epops,1.1077335276183076,0.5916754935068091,1.7504232655697427,TRUE
bio13,Zosterops simplex,1.143911394345565,0.7785910741566888,1.5477497317554425,TRUE
bio7,Accipiter nisus,0.14710502948356505,-0.46311005477065426,0.7206015505951276,FALSE
