species,v2_n_detections,v2_n_grids,v2_n_blocks,v1_n_detections,v1_n_grids,v1_n_blocks,delta_n_detections,pct_change_detections
Calandrella acutirostris,262,92,5,262,92,5,0,0
Turdus viscivorus,261,78,5,261,78,5,0,0
Emberiza yessoensis,260,109,5,316,119,5,-56,-17.72151898734177
Poecile superciliosus,259,65,5,259,65,5,0,0
Seicercus tephrocephalus,259,72,5,NA,NA,NA,NA,NA
Dicaeum minullum,257,101,5,261,101,5,-4,-1.5325670498084292
Yuhina gularis,257,59,5,266,61,5,-9,-3.3834586466165413
Locustella lanceolata,256,109,5,302,117,5,-46,-15.2317880794702
Platalea minor,256,90,5,409,101,5,-153,-37.40831295843521
Cyornis hainanus,255,80,5,264,83,5,-9,-3.409090909090909
Enicurus maculatus,255,67,5,264,69,5,-9,-3.409090909090909
Grus vipio,255,92,5,269,94,5,-14,-5.204460966542751
Limosa lapponica,252,92,5,436,106,5,-184,-42.20183486238532
Brachypteryx leucophris,251,82,5,257,83,5,-6,-2.3346303501945527
Calidris pugnax,251,123,5,322,131,5,-71,-22.049689440993788
Carduelis carduelis,251,82,5,251,82,5,0,0
Ixobrychus eurhythmus,251,130,5,288,139,5,-37,-12.847222222222221
Pucrasia macrolopha,250,90,5,250,90,5,0,0
Surniculus lugubris,249,123,5,257,125,5,-8,-3.11284046692607
Syrrhaptes paradoxus,249,118,5,249,118,5,0,0
Emberiza lathami,247,98,5,256,102,5,-9,-3.515625
Muscicapa muttui,247,109,5,262,114,5,-15,-5.7251908396946565
Fulvetta vinipectus,246,53,5,254,55,5,-8,-3.1496062992125986
Parayuhina diademata,246,89,4,246,89,4,0,0
Strix nivicolum,245,103,5,246,104,5,-1,-0.4065040650406504
Gallinago stenura,244,139,5,278,143,5,-34,-12.23021582733813
Phyllergates cuculatus,244,64,5,NA,NA,NA,NA,NA
Prinia hodgsonii,242,69,5,246,69,5,-4,-1.6260162601626016
Columba hodgsonii,241,61,5,243,61,5,-2,-0.823045267489712
Tetraogallus tibetanus,240,85,5,240,85,5,0,0
Coracias garrulus,239,71,5,239,71,5,0,0
Montifringilla henrici,237,74,5,237,74,5,0,0
Larus fuscus,236,95,5,373,106,5,-137,-36.729222520107236
