grid_cell,period_pair,metric,value_mean,value_l95,value_u95
1196,2005-2009 vs 2000-2004,bray,0.05488204785295961,0.0459729479052075,0.06338493883832576
1197,2005-2009 vs 2000-2004,bray,0.05399845293662193,0.04529082164346608,0.06215428235521243
1198,2005-2009 vs 2000-2004,bray,0.05346711718432767,0.04459297757660841,0.061409850617297125
1199,2005-2009 vs 2000-2004,bray,0.0507916742619405,0.04198762518417075,0.05838286316645316
1200,2005-2009 vs 2000-2004,bray,0.05272905734737783,0.04423162321978565,0.060511485405876184
1201,2005-2009 vs 2000-2004,bray,0.04676551366666265,0.03990980782518288,0.05370665400162539
1202,2005-2009 vs 2000-2004,bray,0.04013549828634097,0.03362007969961138,0.04713652408075441
1203,2005-2009 vs 2000-2004,bray,0.046300512250500095,0.03899451240623208,0.053543008444636934
1204,2005-2009 vs 2000-2004,bray,0.036285115301581905,0.030223732969914815,0.04270339245818466
1205,2005-2009 vs 2000-2004,bray,0.03663680937368708,0.030878218500833606,0.04304822457994638
1206,2005-2009 vs 2000-2004,bray,0.03575565151039927,0.030001945594795246,0.04216286693925287
1207,2005-2009 vs 2000-2004,bray,0.036704929175197874,0.030620137143193196,0.04323206086972654
1208,2005-2009 vs 2000-2004,bray,0.038674165336614955,0.03229457354410653,0.04502838614746074
1209,2005-2009 vs 2000-2004,bray,0.03893074605382436,0.031935856226552504,0.045520218320008944
1210,2005-2009 vs 2000-2004,bray,0.03302879598067751,0.02697027226818204,0.03904457918004776
1211,2005-2009 vs 2000-2004,bray,0.03453655606558923,0.028108618206131784,0.040760408970069294
1212,2005-2009 vs 2000-2004,bray,0.034356143128666125,0.028144384772514002,0.04052718587033686
1213,2005-2009 vs 2000-2004,bray,0.03124852613564092,0.02580148280150548,0.03752989469453935
1214,2005-2009 vs 2000-2004,bray,0.026963286167009343,0.02254539761778735,0.031772834098148094
1215,2005-2009 vs 2000-2004,bray,0.025203602348656477,0.02034462917440474,0.030386240319660217
1216,2005-2009 vs 2000-2004,bray,0.02425592991590299,0.019700412326324294,0.028931576182166886
1234,2005-2009 vs 2000-2004,bray,0.03379276212839134,0.025722903117944302,0.04235730416251328
1235,2005-2009 vs 2000-2004,bray,0.03491867519519593,0.02649999489556658,0.04349723607708
1236,2005-2009 vs 2000-2004,bray,0.035585325979638274,0.027767795019126372,0.04442710144989585
1237,2005-2009 vs 2000-2004,bray,0.03535321374426642,0.027769955698573535,0.044164502125505094
1238,2005-2009 vs 2000-2004,bray,0.03781347031053344,0.02971655198399029,0.047456583947136755
1239,2005-2009 vs 2000-2004,bray,0.03930158509068114,0.031398307846979404,0.04852847403622939
1240,2005-2009 vs 2000-2004,bray,0.0394661159027817,0.03230184424648573,0.049158947305328334
1241,2005-2009 vs 2000-2004,bray,0.04071211473969219,0.032259301110505935,0.050772776443191926
1242,2005-2009 vs 2000-2004,bray,0.04282233058502743,0.034849984711777124,0.052220030924328927
1243,2005-2009 vs 2000-2004,bray,0.04600292868411411,0.03777898323305478,0.055964886235748225
1244,2005-2009 vs 2000-2004,bray,0.04631404138909541,0.037644342515279684,0.05550293646233258
1245,2005-2009 vs 2000-2004,bray,0.046214113693053956,0.03747986833798276,0.055553608648900764
1246,2005-2009 vs 2000-2004,bray,0.046056844038130415,0.037549483335711883,0.056334754594344935
1247,2005-2009 vs 2000-2004,bray,0.046592420491483474,0.03796820583904094,0.05664981632119146
1248,2005-2009 vs 2000-2004,bray,0.045487800320916656,0.03685078515703912,0.055804083039077544
1249,2005-2009 vs 2000-2004,bray,0.046747187801860254,0.038282955538506226,0.05592939486258222
1268,2005-2009 vs 2000-2004,bray,0.052756817263922604,0.04373575203561808,0.06277256683636251
1269,2005-2009 vs 2000-2004,bray,0.045152756208349326,0.037605140455826594,0.05428606002833141
1270,2005-2009 vs 2000-2004,bray,0.05404800128514189,0.044398757761732466,0.06424967079775762
1271,2005-2009 vs 2000-2004,bray,0.05078711072599386,0.04112611193617244,0.06071183922236829
1272,2005-2009 vs 2000-2004,bray,0.04377356519018374,0.035856666254337734,0.0525065764153808
1273,2005-2009 vs 2000-2004,bray,0.04418267152222066,0.0363301673070966,0.05216305068851307
1274,2005-2009 vs 2000-2004,bray,0.03963318891449014,0.03294103094902767,0.04685349661165604
1275,2005-2009 vs 2000-2004,bray,0.04006521034270869,0.03336620980219113,0.048289042514506476
1276,2005-2009 vs 2000-2004,bray,0.03771175138322915,0.031246349855461385,0.04575988515313603
1277,2005-2009 vs 2000-2004,bray,0.03001631211414752,0.02421768165194109,0.03554870328958635
1279,2005-2009 vs 2000-2004,bray,0.03095163705041243,0.025112450361572888,0.037811856813576766
1280,2005-2009 vs 2000-2004,bray,0.03567493791346271,0.02866067526943032,0.04315986333894216
1281,2005-2009 vs 2000-2004,bray,0.0332410464150311,0.0266819649733158,0.04048992086364003
