species,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,migration_score
Muscicapa sibirica,0.8,2,Forest,1,3,Carnivore,Invertivore,Insessorial,3
Cinclus pallasii,0.8,8,Riverine,3,1,Carnivore,Aquatic predator,Generalist,1
Platalea leucorodia,0.8,8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,2
Dendrocitta formosae,0.2,5,Forest,2,1,Omnivore,Omnivore,Insessorial,1
Chaimarrornis leucocephalus,0.8,5,NA,NA,NA,NA,NA,NA,2
Butorides striata,0.8,8,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,1
Trochalopteron elliotii,0.8,2,Forest,1,1,Carnivore,Invertivore,Generalist,1
Turdus hortulorum,0.8,2,Forest,1,3,Carnivore,Invertivore,Terrestrial,3
Troglodytes troglodytes,0.8,2,Forest,1,3,Carnivore,Invertivore,Insessorial,3
Cisticola juncidis,0.8,8,Grassland,3,3,Carnivore,Invertivore,Generalist,3
Gracupica nigricollis,0.8,8,Grassland,3,1,Carnivore,Invertivore,Insessorial,1
Pycnonotus aurigaster,0.2,5,Shrubland,2,1,Herbivore,Omnivore,Insessorial,1
Phylloscopus humei,0.8,2,Forest,1,3,Carnivore,Invertivore,Insessorial,3
Circus spilonotus,0.8,8,Wetland,3,3,Carnivore,Vertivore,Aerial,3
Pericrocotus solaris,0.8,5,Forest,2,1,Carnivore,Invertivore,Insessorial,1
Cuculus sparverioides,0.8,5,NA,NA,NA,NA,NA,NA,2
Aquila chrysaetos,0.8,8,Grassland,3,2,Carnivore,Vertivore,Aerial,2
Ptyonoprogne rupestris,0.8,8,Rock,3,2,Carnivore,Invertivore,Aerial,2
Anthus rubescens,0.8,8,Grassland,3,3,Carnivore,Invertivore,Terrestrial,3
Picoides canicapillus,0.8,2,Forest,1,1,Carnivore,Invertivore,Insessorial,1
Lanius sphenocercus,0.8,8,Grassland,3,2,Carnivore,Invertivore,Insessorial,2
Psilopogon virens,0.8,2,Forest,1,1,Herbivore,Frugivore,Insessorial,1
