mean,sd,q025,median,q975,metric,period,grid_cell
73.75906685529286,1.8763580082559845,70.03593306727852,73.72717110653454,77.46753570602638,corrected_richness,P1,701
76.35172421717985,2.2643171678700833,71.4723728906573,76.40382081614946,80.61789793397074,corrected_richness,P1,702
97.46434995151995,1.7450975891001914,93.94359406079488,97.55569074879114,100.80848233065758,corrected_richness,P1,704
101.55201184543174,1.6428055786531217,98.08633969078396,101.64404251360094,104.58797061178788,corrected_richness,P1,705
84.78573024067914,2.049088187049322,80.80215624731451,84.74833567065434,88.8304214993372,corrected_richness,P1,706
79.50001618904176,2.0440794016474335,75.64390788634189,79.50430641041321,83.34221069211313,corrected_richness,P1,708
84.45148523446652,1.9442397477787152,81.08830655979203,84.41768878492064,88.45953947935796,corrected_richness,P1,710
86.76134539640616,1.9152240013735724,83.13269708917106,86.81582425889414,90.50680332317006,corrected_richness,P1,711
85.08892407256349,1.967269592144977,81.65390576592728,85.06827979895436,89.17198342845991,corrected_richness,P1,712
107.34781168258642,1.9472287027162143,103.50405254044816,107.41304873618083,110.97577561329973,corrected_richness,P1,716
99.59625562111445,1.9769412688354007,95.98665770925308,99.53944241717781,103.36823292235906,corrected_richness,P1,717
44.722353785548115,1.2320026009771048,42.33003998185682,44.64940391816951,47.111037735072216,corrected_richness,P1,735
47.46526258421552,0.9988434062070389,45.63757120525422,47.445155137213106,49.47347373794838,corrected_richness,P1,736
47.96965463682155,1.0366136776562986,46.00390272575631,47.95110991153044,50.26337175889157,corrected_richness,P1,737
52.1509769007743,0.9886439639088028,50.08980195182755,52.099773006011034,54.11308587731395,corrected_richness,P1,738
69.37945337602623,1.984978051322167,65.86565675568077,69.35944825791395,73.56612014951493,corrected_richness,P1,772
70.04556980746976,1.6475813895224498,66.93636319560686,70.05301507297216,73.30200960845598,corrected_richness,P1,773
72.26668009587554,1.622839595689247,68.95463300119864,72.35983138714366,75.3184024049743,corrected_richness,P1,774
69.78862790531166,1.6217425801187042,66.67506382717586,69.80740351736316,72.84917608385253,corrected_richness,P1,775
71.03968843010588,1.6327725741529941,67.78277977164146,71.06618733466405,74.08175559409612,corrected_richness,P1,776
72.24287585942197,1.8298843403757785,68.40655528004473,72.3095872406474,75.74099473459626,corrected_richness,P1,777
76.30273939532255,1.459993277811279,73.51474395993058,76.33425253140976,78.927407418976,corrected_richness,P1,778
96.53678201998574,1.027402781118311,94.43506627548634,96.6053263035304,98.49182955078582,corrected_richness,P1,783
100.81115139571644,0.995661734777615,98.7458493866241,100.8675559309093,102.48618747906387,corrected_richness,P1,784
101.23851202839411,0.9878794656060653,99.27150322576053,101.28411791645021,103.11093075206836,corrected_richness,P1,787
