grid_cell,centroid_lon,centroid_lat,delta_t_mean,delta_t_extreme,delta_t_std,tmp_P1,tmp_P2,tmp_P3,tmp_P4,tmp_P5,tmx_P1,tmx_P2,tmx_P3,tmx_P4,tmx_P5
1569,123.51835156643419,40.575989819444416,0.102302089782218,0.4483854426342688,3.454972674155618,4.293218788675343,4.251343782279097,4.165531289398981,4.358322943944949,4.374583375259438,10.540833422510573,10.477500070740158,10.175625095268092,10.87916678171605,10.957552189259633
1570,124.39390369952042,40.59409763666985,0.08284025721627053,0.4459722523060119,1.5242273287607515,4.285208372065487,4.208347254924269,4.139986151674142,4.312625039169668,4.329618070711149,10.744166768756179,10.640277869751056,10.393611209446357,11.039166800098288,11.138194571559628
1571,125.20295537831663,40.746934829261306,0.0586458210755767,0.4258333193138242,1.1400373936214983,4.24908337110343,4.176333375352745,4.128416682903965,4.28150005711553,4.271354194303664,10.797500137984752,10.630000096932054,10.400000139077504,11.06500010273109,11.139583436772227
1586,74.25934101094575,39.837567898663394,0.16516666774017086,0.2952083508173615,9.732541076765852,2.587458335336608,2.563458339885498,2.5300416867714377,2.6667083447566258,2.740625005351224,7.596666730443637,7.652500069141388,7.531666723949215,7.899166734330356,7.919791750609874
1587,75.00937408415673,39.890168402415775,0.14945833442907297,0.36072917787047665,12.164949915995377,3.1611250095961925,3.1785000094949893,3.126958357911402,3.27441668761118,3.319270843974664,8.836250082155068,8.924583417642861,8.808750096708536,9.153750090952961,9.241145927769441
1588,75.90764150809956,39.8902051834657,0.13607291656953802,-0.3169791510639097,9.020441369810996,4.654854215770805,4.633520873399296,4.577520893847881,4.722812541970052,4.7802604611545885,11.945416812536617,12.006250122034302,11.88708345796913,11.766666798728208,11.65885431622155
1589,76.80595679221908,39.8902051834657,0.1486458318492314,0.1683333016388744,14.864583184923141,5.212125049566384,5.215791704179719,5.173166718593954,5.289666717813816,5.362604208722283,13.054166788452616,13.194583516412724,12.87958347753932,13.171250130577633,13.292708454071544
1590,77.7042720763386,39.8902051834657,0.1482916724247234,0.32083336592962297,14.82916724247234,5.291958377696574,5.298125047663538,5.256291739619337,5.375708386007075,5.443333385104779,13.315000127752622,13.47250013537705,13.169166762133438,13.493333491186302,13.71458349749446
1591,78.60258736045813,39.8902051834657,0.14922916323218072,0.12166665270924604,14.922916323218072,5.509500053881978,5.516208399040625,5.473875039047561,5.5942917102637395,5.662083389693483,13.914583505814274,14.0816668368876,13.756250227491059,13.845416807134946,14.119791824060183
1592,79.50090264457765,39.8902051834657,0.18324999898419758,0.2746875196695342,9.014075524071197,5.537375053491754,5.5661250493372805,5.538208388160759,5.688375042945458,5.735000050398715,14.094166833162308,14.299166915317375,14.052500164881348,14.190416869769493,14.471354393909376
1593,80.39921792869717,39.8902051834657,0.16245833888339511,0.3757291456063587,4.010195351908246,5.427750053854348,5.48504172321409,5.431375049205963,5.588000060427779,5.618854227417614,14.028750185420115,14.247916816920043,13.975416824780403,14.280833480010429,14.514062646776438
1594,81.29753321281669,39.8902051834657,0.14566668380284575,-0.3610416478167,2.3498530030243634,5.365500040499804,5.45316671563002,5.37000003271581,5.534333392380116,5.555000061867758,14.049166803558668,14.27916687130928,14.016666841506957,13.519166760643325,13.803125189617274
1602,88.48405548577286,39.8902051834657,0.2567604072760652,0.3057292113313448,5.900295218325474,5.352833391077971,5.414375065996621,5.357541688795512,5.590458378044422,5.640364635813361,14.321250237493466,14.443333565474799,14.268333477247506,14.57416683981816,14.688021112815477
1608,93.87394719048999,39.8902051834657,0.213374994971673,0.10312503549891083,4.5807649235862105,4.397645882198898,4.463520865262641,4.4599792027574345,4.595229206777487,4.643958368702442,12.408333473404248,12.489583426962296,12.40750017638008,12.433333470703413,12.552083485682184
1609,94.7722624746095,39.8902051834657,0.14616667521186244,0.28541665485439083,1.6978310543557744,4.010041714498462,4.131791693049793,4.053291702611993,4.204875032627024,4.21708337898599,11.574166807035606,11.646666765213013,11.432500066359838,11.662500106915832,11.8958334409787
1610,95.67057775872902,39.8902051834657,0.16141667587605024,0.1745833313868701,2.140939355981632,2.8716250112435473,2.9782500081540393,2.929666685891182,3.078916675512058,3.0863541855748435,9.0991667527395,9.182916737161577,9.005833439559986,9.127916754285494,9.315625076337408
1612,97.46720832696808,39.8902051834657,0.23413542336784277,0.3023958521972716,5.004293985947926,2.7420000071637336,2.808166681641402,2.792791670304723,2.9458750101039186,3.0092187677704105,8.604166768677533,8.644166752913346,8.501666742408027,8.741666755421708,8.926562612992711
1613,98.3655236110876,39.8902051834657,0.2431874989483429,0.351458340681468,5.095098374398248,4.0000417028010515,4.067541686891733,4.0672083619749175,4.2346666982087,4.276979193794736,11.150416798703372,11.188333456063022,11.072083465630808,11.31583346001183,11.520833468064666
1614,99.26383889520712,39.8902051834657,0.2452083467214825,0.39208332585791794,18.82950563153005,4.2382916973282905,4.256708376784809,4.2953750334136815,4.44595837185625,4.492708383778033,11.738333458142977,11.74000013930102,11.696666791538398,11.915000140977403,12.131250124579918
1616,101.06046946344617,39.8902051834657,0.1877083348575983,0.33562498196649315,2.5866959161047256,4.404625048356441,4.507250050109967,4.502000047441106,4.627166712136629,4.643645884090802,12.217500123040129,12.255000143187742,12.109166783684245,12.392916835223636,12.571875115080427
1617,101.95878474756569,39.8902051834657,0.16960416795627697,0.28031253054117045,2.801244808255362,4.504979218007065,4.590604192251339,4.578354213596321,4.704812537075487,4.717395873085479,12.389166796269517,12.45333351769174,12.327500095901389,12.533750140139212,12.7015626875218
1618,102.8571000316852,39.8902051834657,0.17415626160800368,0.27604166920452045,12.739352239659526,4.2536250449755855,4.272958378610202,4.285750037823648,4.400791705112594,4.437447973400897,11.692083460092544,11.67666677882274,11.588333465966086,11.743750137835741,11.960416788662162
1619,103.75541531580473,39.8902051834657,0.48750000596822574,0.43187504548889777,15.758379653118203,4.319166707123319,4.362916707775246,4.425416734651662,4.799750055007946,4.828541713417508,11.788333447401723,11.812500103314719,11.799166744947433,12.066666767994565,12.232291820847118
1620,104.65373059992424,39.8902051834657,0.21491666056293468,0.37458329073463936,12.664088359817896,4.440791715475886,4.464791710383723,4.4856250216291915,4.620750040044852,4.667708373492739,11.940000148459028,11.971250145416706,11.891250134880345,12.112083464271077,12.330208437672505
1621,105.55204588404376,39.8902051834657,0.20942708682074862,0.3201041782818095,8.17973460633617,4.593770867380469,4.629979209186665,4.64889588256289,4.779479213629384,4.8213021251043156,12.290833470846216,12.311666802441081,12.230833452939986,12.452500135699907,12.621354314925458
1622,106.45036116816328,39.8902051834657,0.2030833538922412,0.36052088034339214,6.913615224028745,4.518541690482136,4.560083376569674,4.580541688207692,4.700916696844312,4.742395887418146,12.033750129832576,12.100416746207824,12.076250134781002,12.262500122841447,12.427604318363592
1623,107.34867645228282,39.8902051834657,0.15668750903860218,0.33427083774004096,4.22410562640515,4.098958364699501,4.1514167120835435,4.171791687510753,4.25100004778554,4.281875047430124,11.05708342116947,11.200416747728983,11.173333424609154,11.274166782945395,11.463020922189267
1624,108.24699173640234,39.8902051834657,0.1835833284577042,0.41187497867892375,5.141108663398984,4.154291705748377,4.204791714584765,4.229291713881927,4.343041696158859,4.3631250386242755,11.120833482965827,11.153333413600922,11.16750014796853,11.352500122040512,11.548958426962297
1625,109.14530702052186,39.8902051834657,0.18224999830999788,0.4017708064056933,4.866851490664868,4.0086667019097755,4.061625050823205,4.083333371381741,4.198083368285249,4.217395874676488,10.66375010975947,10.76083347896735,10.785833444508414,10.917083443080386,11.114062600769103
